10206,129: 3.8723, 1341.0, 585, 650, 0.001200
1068,128: 16.1741, 1135.0, 220, 245, 0.000613
10094,10101: 3.7830, 540.0, 586, 603, 0.005839
10070,1037: 3.7538, 723.0, 125, 149, 0.000658
10004,10232: 1.1698, 666.0, 627, 823, 0.006190
131,10455: 8.9938, 394.0, 8472, 9680, 0.033922
584,1062: 5.1013, 771.0, 185, 235, 0.002285
10218,10088: 16.5207, 1247.0, 134, 164, 0.000738
141,10095: 9.2385, 702.0, 149, 149, 0.001577
156,246: 5.0478, 1266.0, 256, 287, 0.001470
10457,10602: 4.0370, 650.0, 330, 418, 0.001830
1080,1070: 3.9623, 449.0, 498, 628, 0.008056
10224,95: 8.3842, 768.0, 487, 642, 0.002355
141,1123: 11.6507, 923.0, 301, 365, 0.003810
10081,102: 6.3189, 1188.0, 151, 184, 0.000664
10014,10238: 15.5697, 834.0, 345, 417, 0.002604
1049,10065: 1.3282, 206.0, 1438, 1903, 0.022381
10004,247: 13.2417, 651.0, 129, 129, 0.000710
128,579: 9.8992, 311.0, 16935, 20077, 0.038047
246,10081: 8.5938, 34.0, 97371, 110598, 0.374559
10077,10002: 8.4027, 1306.0, 108, 114, 0.000817
56,10232: 4.8721, 1066.0, 102, 107, 0.001016
581,97: 5.2685, 943.0, 170, 214, 0.000631
10595,10234: 12.7250, 63.0, 64539, 67814, 0.298974
10088,10602: 2.5528, 319.0, 31581, 35308, 0.114609
107,1121: 2.4481, 558.0, 132, 152, 0.002247
97,1115: 3.9897, 659.0, 1383, 1441, 0.004056
1107,1037: 0.5209, 229.0, 8192, 10900, 0.053810
10072,10598: 3.4127, 766.0, 141, 182, 0.000855
245,121: 16.9782, 607.0, 1331, 1641, 0.010157
1032,10088: 0.9190, 35.0, 18270, 19891, 0.063422
140,73: 10.6202, 369.0, 3119, 3641, 0.011422
1103,151: 2.0392, 1066.0, 150, 168, 0.001101
84,102: 2.8267, 489.0, 277, 310, 0.003339
579,120: 4.5177, 538.0, 120, 130, 0.000337
1121,10582: 2.1197, 546.0, 123, 134, 0.001196
10453,10453: 0.0000, 7.0, 5755, 8890, 0.073062
10580,582: 2.4628, 538.0, 121, 142, 0.000672
1026,10070: 1.8425, 446.0, 8206, 10441, 0.045443
10099,92: 1.3194, 142.0, 16640, 18101, 0.091596
136,10454: 8.8241, 472.0, 2139, 2219, 0.037044
144,232: 15.7405, 788.0, 211, 244, 0.001107
10206,10569: 9.3333, 694.0, 192, 231, 0.001328
10076,1068: 2.4175, 624.0, 196, 231, 0.000923
98,1115: 4.6929, 294.0, 735, 908, 0.001793
130,10005: 15.8748, 714.0, 319, 361, 0.001792
10233,202: 6.7403, 902.0, 118, 143, 0.001232
1122,10096: 8.5353, 1463.0, 117, 117, 0.001503
10224,10084: 3.3247, 947.0, 1294, 1442, 0.007910
87,119: 0.2476, 35.0, 7146, 10574, 0.072501
590,586: 3.4725, 327.0, 1370, 1626, 0.011752
10215,93: 16.1831, 1332.0, 336, 381, 0.001899
10058,232: 6.5435, 600.0, 1119, 1344, 0.004646
10101,263: 7.4546, 581.0, 2226, 2959, 0.012200
234,10076: 10.3222, 1573.0, 316, 338, 0.000775
275,10233: 8.3618, 297.0, 2233, 2938, 0.008406
265,1111: 11.6796, 881.0, 505, 619, 0.002636
10227,10058: 11.8681, 128.0, 2916, 3468, 0.016687
267,97: 11.2861, 2109.0, 129, 134, 0.001054
2,10223: 12.0132, 911.0, 663, 769, 0.001601
10099,1057: 0.6475, 57.0, 38420, 41829, 0.210697
1074,579: 7.8218, 590.0, 1210, 1599, 0.003733
156,263: 17.6484, 1607.0, 163, 192, 0.000936
1104,78: 4.6616, 756.0, 128, 143, 0.001392
10611,10617: 1.3325, 196.0, 421, 544, 0.007602
275,10572: 2.5042, 28.0, 224, 262, 0.000691
1077,10236: 9.0497, 222.0, 2697, 3396, 0.019925
10027,78: 0.2892, 11.0, 373, 424, 0.002842
10228,10082: 13.8516, 569.0, 395, 503, 0.003751
10225,73: 17.0079, 924.0, 127, 140, 0.000456
141,575: 8.3950, 806.0, 182, 229, 0.002575
1054,10106: 2.0611, 828.0, 233, 248, 0.003362
240,1121: 8.5352, 690.0, 142, 175, 0.000599
128,63: 14.1660, 224.0, 2082, 2597, 0.006404
149,10080: 8.6743, 854.0, 272, 330, 0.001641
265,84: 8.8099, 1209.0, 116, 134, 0.001103
10210,10111: 2.8197, 179.0, 696, 966, 0.015029
238,106: 7.7939, 724.0, 757, 858, 0.003682
59,10219: 9.5261, 247.0, 389, 491, 0.002584
1029,10058: 3.0491, 992.0, 257, 300, 0.001611
10089,202: 9.0722, 629.0, 349, 567, 0.003859
10594,130: 21.5214, 610.0, 129, 169, 0.000667
1024,1027: 1.4588, 184.0, 135, 172, 0.001787
83,97: 3.1081, 419.0, 1781, 2326, 0.005791
272,240: 29.9918, 1944.0, 144, 157, 0.000519
129,10070: 4.9401, 1230.0, 271, 320, 0.000658
67,10068: 2.8592, 745.0, 231, 278, 0.002165
131,10595: 12.0473, 494.0, 728, 844, 0.002928
10593,1069: 2.7778, 299.0, 151, 183, 0.001593
1066,1079: 3.0006, 417.0, 100, 110, 0.002053
10224,9: 5.6556, 381.0, 215, 274, 0.000971
149,10038: 13.6338, 268.0, 1037, 1191, 0.006711
266,264: 1.5492, 395.0, 111, 130, 0.002710
584,259: 7.6564, 811.0, 1661, 2005, 0.006107
10210,122: 5.3843, 628.0, 143, 169, 0.003299
10068,10017: 2.1494, 474.0, 111, 143, 0.001158
1108,10089: 0.7450, 74.0, 13880, 15981, 0.148884
10218,145: 16.7423, 977.0, 309, 357, 0.001155
119,10238: 10.4118, 410.0, 600, 797, 0.007356
128,1074: 17.6391, 451.0, 331, 360, 0.000963
239,10224: 7.5341, 1323.0, 129, 141, 0.000844
570,572: 1.5503, 142.0, 2483, 2884, 0.023717
10218,10616: 17.1033, 771.0, 332, 417, 0.002171
83,234: 15.5512, 958.0, 107, 119, 0.000263
266,1025: 2.0158, 690.0, 215, 242, 0.001328
241,576: 12.8686, 240.0, 227, 277, 0.002433
1055,10224: 5.5630, 274.0, 600, 793, 0.003115
10072,73: 2.6250, 589.0, 165, 193, 0.000800
10458,10075: 2.2363, 188.0, 1605, 1857, 0.009330
5,82: 6.0743, 495.0, 1979, 2416, 0.010929
270,78: 19.9294, 1313.0, 141, 175, 0.001320
10211,1080: 16.0729, 630.0, 508, 593, 0.003177
143,10088: 12.2166, 373.0, 854, 1124, 0.005869
10109,238: 8.8140, 1787.0, 312, 331, 0.001431
1103,10569: 1.9550, 621.0, 489, 577, 0.004356
10460,10223: 8.4938, 281.0, 1189, 1583, 0.008099
10233,10004: 1.3326, 980.0, 108, 127, 0.000903
75,10572: 1.0527, 19.0, 102, 130, 0.000487
10064,95: 2.6573, 511.0, 1954, 1954, 0.019413
1082,1037: 8.2715, 1700.0, 129, 158, 0.001180
577,579: 11.0206, 994.0, 1319, 1666, 0.004142
1051,1051: 0.0000, 156.0, 358, 410, 0.018862
10612,579: 11.3367, 1099.0, 305, 351, 0.000917
79,2: 7.0011, 810.0, 160, 181, 0.000369
10085,1039: 5.8088, 1543.0, 105, 109, 0.001122
10091,259: 11.7208, 1293.0, 109, 125, 0.000696
10229,145: 13.9642, 940.0, 104, 125, 0.000379
102,10066: 0.3174, 52.0, 25796, 35432, 0.231450
10017,65: 0.1860, 9.0, 2392, 2975, 0.050572
10099,102: 0.2677, 37.0, 25613, 28003, 0.141101
267,10216: 19.4039, 733.0, 691, 768, 0.009741
10603,10234: 12.1171, 200.0, 134, 177, 0.000773
578,10439: 11.9085, 558.0, 197, 197, 0.002263
257,581: 3.4398, 354.0, 412, 502, 0.004092
10056,10071: 2.4805, 349.0, 5314, 6683, 0.022068
10206,10615: 12.2177, 1154.0, 213, 237, 0.001062
10460,10082: 5.1361, 309.0, 2096, 2396, 0.007558
10238,1045: 13.7415, 233.0, 2140, 2542, 0.018776
254,232: 5.5531, 571.0, 3966, 4819, 0.016473
10072,10072: 0.0000, 13.0, 6969, 8811, 0.041788
73,10075: 3.0141, 205.0, 321, 352, 0.001128
129,1025: 6.5314, 162.0, 16699, 20875, 0.032827
1122,1114: 6.8060, 659.0, 133, 133, 0.002098
10096,579: 14.1734, 2588.0, 132, 151, 0.000770
146,131: 5.7306, 624.0, 140, 168, 0.000849
68,10449: 2.4176, 844.0, 115, 117, 0.001138
1031,10058: 2.0075, 478.0, 103, 135, 0.000760
1042,128: 7.7027, 791.0, 217, 277, 0.000659
107,9: 3.1377, 1366.0, 116, 137, 0.001932
1077,1025: 3.9227, 564.0, 173, 196, 0.001155
10231,10069: 7.5483, 288.0, 8846, 10761, 0.074433
95,1084: 2.7554, 1131.0, 127, 132, 0.001194
10218,10457: 14.3770, 994.0, 107, 118, 0.000776
