  586, 25369
  238, 22308
 1414, 17978
 1166, 14032
  579, 12343
 1015, 11411
  268, 11312
  582, 10911
 1413, 10670
  263, 10479
    2, 10364
  226, 10331
  234, 10084
  587,  9870
 1089,  9707
  591,  9460
 1180,  9280
10013,  8777
 1171,  8701
10146,  8597
 1016,  8554
 1165,  8466
10410,  8180
10127,  8031
  228,  8010
  269,  7846
10638,  7720
 1115,  7720
 1046,  7704
 1087,  7657
 1002,  7640
  570,  7487
 1014,  7436
 1107,  7253
 1025,  7143
10093,  7026
   97,  6855
  274,  6834
10145,  6797
 1122,  6768
  270,  6707
  275,  6697
 1187,  6691
 1056,  6689
  574,  6607
10133,  6606
  259,  6511
 1057,  6485
 1039,  6402
  143,  6325
 1048,  6319
 1001,  6316
  255,  6256
 1033,  6124
  149,  6061
 1092,  6017
  571,  6010
 1042,  5992
  230,  5969
 1061,  5807
 1043,  5787
 1029,  5775
  388,  5748
10096,  5738
  232,  5717
 1055,  5593
  272,  5349
 1104,  5306
  589,  5300
 1088,  5291
  572,  5256
    5,  5105
 1182,  5104
 1167,  5083
 1019,  5022
10568,  4961
 1018,  4958
  584,  4813
 1175,  4808
 1037,  4773
  170,  4759
 1031,  4739
  267,  4720
 1040,  4699
  229,  4692
 1113,  4632
  233,  4626
10115,  4589
10080,  4528
  265,  4522
 1023,  4473
10109,  4460
10136,  4420
 1084,  4410
10098,  4410
10117,  4270
10094,  4205
 1111,  4141
  145,  4102
10118,  4091
  129,  4084
 1164,  4079
 1041,  4065
 1026,  4037
 1082,  4034
 1173,  4015
10073,  3955
 1103,  3940
 1034,  3918
 1036,  3901
 1181,  3814
10403,  3802
 1085,  3778
10057,  3777
 1169,  3704
10134,  3674
  252,  3669
 1123,  3650
 1091,  3634
  578,  3619
  237,  3604
 1049,  3576
10097,  3572
 1170,  3553
10142,  3547
10108,  3540
   95,  3521
 1062,  3502
10424,  3487
   78,  3481
10130,  3418
  151,  3415
  110,  3407
  182,  3407
  576,  3390
 1020,  3387
 1024,  3378
10087,  3378
10140,  3358
  247,  3341
  236,  3281
 1168,  3206
  111,  3205
10135,  3205
 1022,  3192
  181,  3169
10121,  3167
    9,  3158
10070,  3098
 1028,  3077
  581,  3075
10409,  3061
 1097,  3041
10088,  3022
10081,  2993
  590,  2991
  107,  2980
 1176,  2977
 1415,  2964
10056,  2962
   53,  2893
  227,  2858
10086,  2835
  136,  2815
  248,  2811
10058,  2786
10071,  2781
10069,  2774
10002,  2766
  139,  2762
10079,  2751
10064,  2749
 1021,  2725
10128,  2697
  101,  2682
10095,  2668
10104,  2661
  240,  2636
10113,  2630
   69,  2615
 1081,  2612
10091,  2612
 1114,  2604
   73,  2598
10006,  2588
 1047,  2550
10072,  2527
  573,  2525
   94,  2513
   71,  2489
 1045,  2461
10120,  2454
10090,  2452
  577,  2448
 1121,  2439
10075,  2432
  176,  2427
  239,  2394
 1083,  2371
10062,  2350
   88,  2321
   82,  2318
10089,  2318
  112,  2312
 1177,  2307
  137,  2306
  254,  2306
10406,  2304
    1,  2288
 1108,  2266
  184,  2263
  242,  2250
  144,  2241
   93,  2239
 1035,  2234
10005,  2231
  124,  2222
   79,  2218
10414,  2201
  132,  2178
 1070,  2176
  106,  2162
 1303,  2162
10101,  2146
10076,  2127
10119,  2094
10066,  2062
10077,  2057
  231,  2027
 1093,  2016
10122,  1984
  253,  1975
   87,  1973
10132,  1973
10405,  1963
 1186,  1957
10068,  1948
10099,  1943
10123,  1942
  277,  1940
  116,  1912
10085,  1902
 1006,  1887
 1051,  1871
 1053,  1870
  104,  1832
10107,  1820
   67,  1798
   56,  1789
10053,  1789
  142,  1778
  575,  1764
 1027,  1752
  163,  1746
 1301,  1723
10065,  1723
   72,  1721
10105,  1644
10007,  1642
   75,  1628
  103,  1628
10131,  1618
   68,  1600
 1074,  1586
  243,  1585
  168,  1556
10124,  1549
10092,  1536
10082,  1500
10014,  1475
 1052,  1471
  119,  1466
  172,  1452
10078,  1450
  100,  1434
  156,  1404
  160,  1402
 1112,  1401
  166,  1387
 1050,  1358
10106,  1354
10408,  1341
 1184,  1337
  133,  1332
   92,  1326
 1077,  1306
   98,  1304
 1069,  1295
  122,  1275
  102,  1272
  138,  1267
   59,  1249
 1054,  1245
10569,  1222
  266,  1207
10111,  1202
 1005,  1182
 1096,  1180
10084,  1178
 1067,  1176
 1080,  1168
  225,  1144
 1079,  1132
 1038,  1104
   85,  1097
 1073,  1078
10114,  1056
  179,  1011
 1003,  1010
10116,   993
  171,   992
 1072,   985
 1066,   976
 1095,   974
 1302,   973
 1059,   966
 1075,   966
  127,   944
  387,   934
10017,   931
   64,   890
   65,   882
  120,   866
   74,   861
  264,   859
   83,   858
10575,   847
  121,   843
   84,   839
   57,   829
  257,   809
  164,   807
 1076,   798
 1078,   783
  241,   757
   91,   749
   66,   732
   99,   724
 1009,   636
10582,   621
 1068,   621
 1004,   585
 1007,   582
   63,   573
  520,   555
  126,   552
 1090,   549
10580,   543
10141,   536
10412,   521
   77,   494
   62,   446
  118,   438
  146,   426
  169,   412
   11,   401
 1010,   398
10571,   395
  173,   358
 1008,   302
   52,   297
  108,   295
10576,   294
 1032,   287
  115,   286
10570,   280
10581,   277
   86,   276
   61,   247
10574,   243
10585,   233
  161,   229
   60,   227
10586,   208
10572,   193
10578,   173
10126,   167
10573,   136
  522,   136
10587,    86
10583,    63
10579,    46
  202,    19
10584,    17
  128,     8
10612,     2
10620,     2
10618,     1
10621,     1
10627,     1
