(1,415839)                  (1,446007)    
(2,600477)                  (2,664057)    
(5,286636)                  (5,333150)    
(9,76541)                   (9,81178)     
(11,97554)                  (11,102128)   
(52,44353)                  (52,45804)    
(53,116383)                 (53,134795)   
(56,163320)                 (56,173234)   
(57,84300)                  (57,88857)    
(59,224315)                 (59,227595)   
(60,33072)                  (60,33425)    
(61,12261)                  (61,13759)    
(62,32087)                  (62,34047)    
(63,25620)                  (63,29203)    
(64,64507)                  (64,68776)    
(65,51265)                  (65,56123)    
(66,43031)                  (66,45928)    
(67,130655)                 (67,141470)   
(68,133975)                 (68,149346)   
(69,169929)                 (69,190755)   
(70,136)                    (70,153)      
(71,190621)                 (71,197267)   
(72,153439)                 (72,158936)   
(73,322474)                 (73,337689)   
(74,62017)                  (74,66745)    
(75,275885)                 (75,291407)   
(76,11170)                  (76,11852)    
(77,12430)                  (77,13958)    
(78,168093)                 (78,191053)   
(79,67588)                  (79,77956)    
(82,89253)                  (82,100776)   
(83,56421)                  (83,59729)    
(84,67118)                  (84,71220)    
(85,53546)                  (85,60987)    
(86,16433)                  (86,17064)    
(87,157195)                 (87,174909)   
(88,68380)                  (88,82873)    
(91,236959)                 (91,243853)   
(92,180736)                 (92,190219)   
(93,264256)                 (93,280195)   
(94,15644)                  (94,17707)    
(95,150991)                 (95,177602)   
(97,411578)                 (97,470734)   
(98,86034)                  (98,92230)    
(99,55121)                  (99,57737)    
(100,121291)                (100,131343)  
(101,96093)                 (101,110320)  
(102,122961)                (102,128791)  
(103,114846)                (103,124334)  
(104,97155)                 (104,106425)  
(106,122159)                (106,139457)  
(107,97870)                 (107,111265)  
(108,52676)                 (108,53659)   
(110,110580)                (110,135504)  
(111,105700)                (111,124831)  
(112,140017)                (112,156480)  
(115,57139)                 (115,58499)   
(116,97663)                 (116,110808)  
(118,26452)                 (118,28503)   
(119,91446)                 (119,105393)  
(120,80932)                 (120,86273)   
(121,43400)                 (121,47501)   
(122,53738)                 (122,61842)   
(124,250449)                (124,260521)  
(125,9614)                  (125,12978)   
(126,51152)                 (126,52273)   
(127,29734)                 (127,35481)   
(128,500714)                (128,556706)  
(129,656349)                (129,680869)  
(130,276963)                (130,305759)  
(131,266716)                (131,302576)  
(136,87254)                 (136,102324)  
(140,120080)                (140,127792)  
(141,122530)                (141,133602)  
(142,48964)                 (142,60625)   
(143,215968)                (143,225925)  
(144,182393)                (144,193788)  
(145,497478)                (145,530017)  
(146,170321)                (146,184267)  
(149,129757)                (149,194461)  
(151,201073)                (151,241650)  
(156,105455)                (156,116869)  
(181,582)                   (181,619)     
(202,185290)                (202,199018)  
(227,45048)                 (227,53517)   
(232,290648)                (232,317064)  
(234,754460)                (234,813284)  
(237,51077)                 (237,53805)   
(238,292856)                (238,329150)  
(239,155775)                (239,166954)  
(240,342789)                (240,400905)  
(241,177800)                (241,186226)  
(245,227932)                (245,239235)  
(246,280891)                (246,304772)  
(247,323664)                (247,343640)  
(254,232201)                (254,260606)  
(255,270)                   (255,305)     
(257,89062)                 (257,93269)   
(259,327035)                (259,398263)  
(263,271023)                (263,367462)  
(264,61048)                 (264,63352)   
(265,103859)                (265,132391)  
(266,67346)                 (266,73442)   
(267,97833)                 (267,130940)  
(268,153935)                (268,209259)  
(269,86461)                 (269,121942)  
(270,183855)                (270,234863)  
(272,59351)                 (272,76954)   
(274,151591)                (274,201174)  
(275,395230)                (275,412431)  
(277,46239)                 (277,49996)   
(520,36852)                 (520,39795)   
(522,15444)                 (522,15798)   
(570,55633)                 (570,64485)   
(571,45057)                 (571,49254)   
(572,129653)                (572,138467)  
(573,113027)                (573,118314)  
(574,147276)                (574,173320)  
(575,106477)                (575,113725)  
(576,48861)                 (576,54781)   
(577,35775)                 (577,39208)   
(578,54024)                 (578,60993)   
(579,407348)                (579,484276)  
(581,123441)                (581,135131)  
(582,237018)                (582,265057)  
(584,119150)                (584,138296)  
(586,212555)                (586,295096)  
(587,56977)                 (587,67227)   
(588,151421)                (588,205338)  
(589,60329)                 (589,67751)   
(590,114034)                (590,149436)  
(591,163806)                (591,214876)  
(901,256710)                (901,264177)  
(1024,112675)               (1024,119764) 
(1025,222049)               (1025,236365) 
(1026,287661)               (1026,297954) 
(1027,100459)               (1027,103715) 
(1028,115080)               (1028,119449) 
(1029,70668)                (1029,84195)  
(1030,20424)                (1030,21640)  
(1031,89607)                (1031,97323)  
(1032,23490)                (1032,24368)  
(1033,124924)               (1033,134338) 
(1034,121112)               (1034,134821) 
(1035,59611)                (1035,69378)  
(1036,126750)               (1036,148524) 
(1037,115120)               (1037,130605) 
(1038,19233)                (1038,22953)  
(1039,93626)                (1039,120350) 
(1040,74796)                (1040,83367)  
(1041,63011)                (1041,74044)  
(1042,94815)                (1042,106133) 
(1043,92269)                (1043,100763) 
(1045,23361)                (1045,26448)  
(1046,177570)               (1046,189034) 
(1047,45833)                (1047,49710)  
(1048,131615)               (1048,150696) 
(1049,62427)                (1049,71287)  
(1050,43280)                (1050,46122)  
(1051,33865)                (1051,39074)  
(1052,39679)                (1052,42610)  
(1053,50406)                (1053,58218)  
(1054,21183)                (1054,23809)  
(1055,123723)               (1055,129581) 
(1056,169264)               (1056,176061) 
(1057,170201)               (1057,178531) 
(1059,12713)                (1059,15129)  
(1061,77187)                (1061,85842)  
(1062,60170)                (1062,67910)  
(1066,50252)                (1066,55705)  
(1067,46751)                (1067,51482)  
(1068,30965)                (1068,33588)  
(1069,65876)                (1069,69674)  
(1070,77840)                (1070,86887)  
(1072,34442)                (1072,38375)  
(1073,53203)                (1073,59672)  
(1074,76274)                (1074,84083)  
(1075,37402)                (1075,42438)  
(1076,35044)                (1076,39028)  
(1077,73815)                (1077,80470)  
(1078,35378)                (1078,39327)  
(1079,62430)                (1079,68199)  
(1080,51156)                (1080,56573)  
(1081,134449)               (1081,139768) 
(1082,166301)               (1082,171147) 
(1083,49654)                (1083,52835)  
(1084,70411)                (1084,79950)  
(1085,52585)                (1085,61650)  
(1087,156421)               (1087,178355) 
(1088,157102)               (1088,167680) 
(1089,139991)               (1089,158770) 
(1090,10328)                (1090,12125)  
(1091,47195)                (1091,58976)  
(1092,58657)                (1092,74639)  
(1093,15643)                (1093,21578)  
(1095,8229)                 (1095,9695)   
(1096,17512)                (1096,21290)  
(1097,69641)                (1097,81314)  
(1103,156653)               (1103,168027) 
(1104,83939)                (1104,99406)  
(1107,212121)               (1107,241128) 
(1108,39072)                (1108,44589)  
(1111,245219)               (1111,283437) 
(1112,103947)               (1112,104489) 
(1113,195989)               (1113,228891) 
(1114,117733)               (1114,133447) 
(1115,518993)               (1115,592384) 
(1121,111890)               (1121,117032) 
(1122,137245)               (1122,158750) 
(1123,62296)                (1123,74408)  
(1301,279114)               (1301,281123) 
(1302,166539)               (1302,170090) 
(1303,135341)               (1303,143714) 
(10002,116106)              (10002,131438)
(10004,91711)               (10004,110922)
(10005,228457)              (10005,237406)
(10006,93023)               (10006,98169) 
(10007,65824)               (10007,72334) 
(10013,200696)              (10013,275074)
(10014,281269)              (10014,289116)
(10015,3350)                (10015,4863)  
(10017,77610)               (10017,80796) 
(10027,2524)                (10027,2860)  
(10032,1377)                (10032,1440)  
(10033,58550)               (10033,62031) 
(10038,27160)               (10038,29035) 
(10053,70732)               (10053,75773) 
(10056,314751)              (10056,348012)
(10057,267858)              (10057,298950)
(10058,212054)              (10058,218494)
(10062,132489)              (10062,147718)
(10064,183838)              (10064,201460)
(10065,102032)              (10065,114025)
(10066,157769)              (10066,168719)
(10068,147787)              (10068,152860)
(10069,134713)              (10069,149081)
(10070,281908)              (10070,294615)
(10071,155979)              (10071,180519)
(10072,237968)              (10072,247896)
(10073,157312)              (10073,204325)
(10075,132012)              (10075,137611)
(10076,285765)              (10076,302186)
(10077,197084)              (10077,211751)
(10078,147436)              (10078,152846)
(10079,139274)              (10079,152587)
(10080,244545)              (10080,263904)
(10081,292546)              (10081,305840)
(10082,164976)              (10082,175047)
(10084,138422)              (10084,156666)
(10085,215472)              (10085,223644)
(10086,186875)              (10086,198418)
(10087,155163)              (10087,171672)
(10088,305511)              (10088,314198)
(10089,101790)              (10089,111382)
(10090,121139)              (10090,130412)
(10091,339926)              (10091,352352)
(10092,213383)              (10092,216849)
(10093,57747)               (10093,69051) 
(10094,189771)              (10094,229314)
(10095,139637)              (10095,155952)
(10096,150277)              (10096,184299)
(10097,130757)              (10097,153352)
(10098,176954)              (10098,198522)
(10099,192692)              (10099,200871)
(10101,48293)               (10101,61112) 
(10104,315307)              (10104,327489)
(10105,185802)              (10105,193396)
(10106,83626)               (10106,91310) 
(10107,189666)              (10107,199648)
(10108,192918)              (10108,203989)
(10109,266320)              (10109,300086)
(10111,72517)               (10111,77784) 
(10205,149297)              (10205,204014)
(10206,210408)              (10206,274046)
(10209,146195)              (10209,163452)
(10210,22779)               (10210,25924) 
(10211,206651)              (10211,228836)
(10215,222205)              (10215,248578)
(10216,115952)              (10216,135824)
(10217,187699)              (10217,228948)
(10218,229185)              (10218,284672)
(10219,174796)              (10219,185264)
(10220,71161)               (10220,77754) 
(10221,252007)              (10221,262434)
(10223,195927)              (10223,206811)
(10224,317300)              (10224,346012)
(10225,242669)              (10225,248549)
(10227,180107)              (10227,186453)
(10228,173677)              (10228,182606)
(10229,356025)              (10229,361713)
(10230,147009)              (10230,162079)
(10231,145348)              (10231,158720)
(10232,134343)              (10232,150558)
(10233,219099)              (10233,240294)
(10234,212986)              (10234,228274)
(10235,72209)               (10235,78969) 
(10236,160637)              (10236,187951)
(10237,7664)                (10237,8475)  
(10238,127505)              (10238,146142)
(10439,179705)              (10439,203227)
(10449,88243)               (10449,100946)
(10450,131354)              (10450,147028)
(10451,8765)                (10451,11748) 
(10453,167191)              (10453,205811)
(10454,95988)               (10454,118615)
(10455,86285)               (10455,93243) 
(10457,167295)              (10457,177979)
(10458,198773)              (10458,207178)
(10460,324649)              (10460,345730)
(10568,305556)              (10568,332948)
(10569,50552)               (10569,57103) 
