10299,308,沿港路中百超市,114.410193028920,30.644222859405
10298,28,解放大道解放公园路口,114.308924963120,30.609017480647
593,593,二环线汉西铁路货场附近（桥上）,114.235909068520,30.593572787128
10295,306,和平大道三弓路口,114.374807716200,30.626581820167
10294,26,解放大道香港路立交,114.299138198300,30.599814554532
10297,307,和平大道建四路口,114.389647904290,30.635345004916
10296,27,解放大道三阳路口,114.305410925770,30.605516932406
10291,301,野芷湖桥桥面,114.340212008620,30.470658900459
10290,294,南湖大道华中农大,114.361217358160,30.486804211143
10293,305,武珞路珞狮路口,114.360203609290,30.532272757252
10292,302,三环线文化路立交,114.333314780960,30.464080237167
10453,63,发展大道唐家墩路口,114.277562418040,30.624180245986
10242,172,友谊大道武昌大队,114.323609032750,30.563504772365
10518,247,自治街前进四路口,114.291537772460,30.586738065204
10407,0272014JY00090,知音大道江汉一桥下闸路口JY,114.272017361660,30.567311667005
10109,0272014JY00052,和平大道建设一路JY,114.378996403300,30.628823907455
10108,0272014JY00051,中山大道崇仁路JY,114.268229305610,30.575235511327
10455,65,青年路汉口火车站段,114.259756327740,30.624339399689
10454,64,市公安局大门,114.264246721120,30.621283632546
10105,0272014JY00047,建设大道航空侧路JY,114.262414786410,30.594441592262
10104,0272014JY00046,沿江大道三阳路JY,114.314027157730,30.601668062475
10107,0272014JY00049,和平大道建设八路JY,114.409885475200,30.645757343014
10106,0272014JY00048,工业四路随州街JY,114.411684968530,30.631106373417
10101,0272014JY00043,华师园路华师一附中北门JY,114.388038401770,30.461594250035
10240,147,徐东路梨园段,114.361674126680,30.588076735375
10103,0272014JY00045,友谊大道工业二路JY,114.401769182980,30.641888203879
10102,0272014JY00044,民族大道政法学院大门口JY,114.400727396010,30.480526070571
10241,171,中山路友谊大道路口,114.323978870570,30.557998308802
10603,027LF2015012,解放大道汉西一路LF-QK,114.226612808830,30.591166013097
10246,177,小东门路口,114.324990720220,30.549575042171
10247,178,解放路张之洞路口,114.303387352050,30.540339192097
10581,0272015LF15002,东湖路蔡家嘴至中南医院公交站路段LF,114.366106710450,30.562339366223
10580,0272015LF15001,东湖路湖北日报至省博物馆公交站路段LF,114.372970456020,30.572925139105
10583,0272015LF15004,东湖路蔡家嘴至省博物馆公交站路段LF,114.370062352500,30.568944568851
10582,0272015LF15003,东湖路中南医院至蔡家嘴公交站路段LF,114.366076050510,30.561571812617
10585,0272015LF15006,东湖路梨园至梨园广场公交站路段LF,114.377778543050,30.578166387006
10244,174,友谊大道湖大路口,114.335542615830,30.583332594017
10587,0272015LF15010,珞狮路傅家咀至北港村公交站路段LF,114.348555092690,30.502025485728
10586,0272015LF15009,珞狮路南湖山庄至傅家咀公交站路段LF,114.346419347150,30.497425829965
10589,0272015bk10018,黄浦大街丝宝卡口bk,114.299208270080,30.627767317326
10588,博康,黄浦大街丝宝卡口,114.308618542410,30.586288076137
10245,176,和平大道积玉桥路口,114.313094417320,30.561203729029
10605,027LF2015013,解放大道古田五路LF-QK,114.223075288000,30.592715967897
10206,75,洪山路双湖桥,114.359760561390,30.552235358324
10207,107,和平大道铁机路口,114.356241972770,30.612375862497
10204,73,东湖路黄鹂路口  ,114.371362516080,30.569863187950
10205,74,东湖路东湖宾馆,114.366505385400,30.562862853068
10202,41,中北路东湖路段,114.345701216980,30.556358154313
10203,66,长江一桥解放路桥上,114.306072926370,30.551385950696
10200,39,中北路楚汉路,114.349797899620,30.563016362864
10201,40,中北路公正路 ,114.347796742980,30.560069276351
10208,108,解放路大成路口,114.305148593170,30.548794440579
10209,110,友谊大道厂前路口,114.443164265210,30.624635378300
1069,0272014LF14015,解放大道水厂（二环线）LF,114.232210816960,30.587233080381
1068,0272014LF14003,发展大道俊才街LF,114.287116644020,30.627453191621
10194,32,长江二桥汉口桥头堡,114.320758115100,30.615778132292
10195,33,长江二桥汉口铁索,114.346270457150,30.637466626298
10192,9,首义隧道大桥端,114.310398250870,30.549050029198
10193,34,长江二桥武昌铁索,114.333123763880,30.608091089600
10190,6,湖北剧场,114.313458148560,30.546913254121
10191,7,武珞路首义路口,114.316477964140,30.546137647437
1061,420100000000000208,沙湖大道东湖西路,114.341679449160,30.558583135470
1062,420100000000000210,武珞路五巷中南二路,114.333417547680,30.548537827912
10451,61,新华路唐家墩路口,114.275229314550,30.613822996553
1067,0272014LF14002,发展大道中一路LF,114.291033215030,30.628961474659
1066,0272014LF14001,发展大道黄孝河路LF,114.292718217120,30.629637439363
10519,248,民生路花楼街段,114.297776754260,30.582009507954
10231,134,友谊大道园林路口,114.376025185970,30.618471492431
10457,69,建设大道青年路口,114.269769009130,30.600130584852
10456,67,青年路常青路口,114.265656745960,30.613852816500
1087,420100000000000203,珞瑜东路森林公园,114.442967542580,30.511380853552
590,0272013kx13005,黄浦大街与九万方路路口,114.297920206870,30.628463670478
1085,420100000000000189,光谷一路高新四路口,114.445158038920,30.457639047067
1084,420100000000000206,平安路文治街,114.326660939170,30.510145128423
1083,420100000000000174,东三路洪山侧路,114.354248778520,30.547480569342
1082,420100000000000173,八一路襄阳汉办,114.354412150480,30.543210141551
1081,420100000000000172,八一路东三路,114.350708755930,30.543640747074
1080,0272014LF14008,发展大道银墩街LF,114.259737528840,30.619894595929
1120,420100000000000264,公正路沙湖果批,114.340498051740,30.562005813754
194,420100120000000054,后湖大道百步亭花园路口,114.321953930890,30.660178802922
1122,420100000000000209,书城路石牌岭,114.339076481000,30.491040269672
1123,420100000000000188,光谷一路高新六路口LF,114.449819435670,30.444922904885
