10005,1,36
1164,1,20
2,1,16
1164,2,13
1,2,12
0,2,6
10410,5,12
10142,5,12
252,5,11
1014,5,10
10056,5,8
1187,5,7
1114,9,25
0,9,17
1113,9,12
1121,9,10
1113,11,28
1121,11,27
1114,11,10
1024,52,46
10058,52,12
146,52,10
171,52,9
252,53,41
10403,53,19
1180,53,15
255,56,26
1103,56,17
10132,56,16
1019,57,34
168,57,16
166,57,11
75,57,8
10122,59,44
10104,59,42
10104,60,89
236,61,23
1103,61,15
10069,61,10
254,61,6
57,62,36
168,62,16
1019,62,8
184,63,22
10069,63,15
69,63,9
236,63,8
255,63,7
10104,64,21
56,64,9
10068,64,8
236,64,8
166,64,6
169,65,12
56,65,8
168,65,8
67,65,7
10017,65,7
69,66,63
254,66,13
257,67,15
10132,67,12
56,67,11
10017,67,10
67,67,6
1021,68,26
10121,68,17
10069,68,6
254,69,29
69,69,9
234,71,45
72,71,25
10087,71,6
71,72,28
234,72,23
10087,72,12
10130,73,17
275,73,14
1033,73,9
239,73,7
10403,73,6
10108,74,24
73,74,16
275,74,7
10082,74,6
1019,75,35
1026,75,21
166,75,9
10075,75,8
52,77,44
0,77,16
173,77,9
79,78,28
10116,78,11
78,78,7
10414,78,6
1040,79,30
0,79,8
1016,79,7
10410,82,18
10073,82,14
82,82,8
252,82,6
247,82,6
10127,83,40
151,83,22
10091,83,10
92,84,41
85,84,31
84,85,36
10109,85,12
92,85,12
85,85,7
120,86,82
133,87,21
119,87,14
139,87,13
1042,87,13
88,88,14
10109,88,13
0,88,9
139,88,8
87,88,7
10092,91,41
1056,91,17
10064,91,16
10078,91,6
1055,92,21
1057,92,15
83,92,12
84,92,12
10099,92,11
10090,93,28
93,93,18
1,93,18
95,94,24
116,94,9
118,94,8
97,94,6
226,95,30
10057,95,6
10091,97,25
97,97,7
10127,97,6
226,97,6
99,98,39
97,98,14
100,98,11
103,98,7
100,99,39
98,99,18
102,99,13
10092,99,8
10078,100,40
94,100,15
99,100,7
98,101,20
1,101,13
97,101,11
93,101,6
10066,102,35
10099,102,26
83,102,6
101,103,40
1081,103,8
106,104,47
116,104,6
104,104,6
104,106,52
111,106,11
106,106,7
106,107,12
0,107,7
116,107,6
1,107,6
93,108,94
112,110,15
110,110,14
111,110,13
10053,110,10
110,111,33
143,111,13
145,111,12
1084,111,10
112,111,6
10053,111,6
106,112,26
110,112,11
107,112,8
97,112,7
108,115,93
95,116,20
97,116,6
104,116,6
93,118,74
120,119,31
87,119,14
133,119,11
1042,119,9
139,119,6
119,119,6
119,120,45
10109,120,26
122,121,40
10109,121,10
1046,121,7
10109,122,26
120,122,10
122,122,8
86,122,7
1046,122,6
138,122,6
1112,124,30
1111,124,24
124,124,14
1113,124,8
124,126,86
1113,126,6
1002,127,49
1177,127,12
0,127,9
1415,127,6
127,128,75
128,128,15
10136,129,31
582,129,17
129,129,12
149,129,6
136,129,6
132,132,29
1002,132,19
0,132,19
1177,132,6
10062,133,17
1041,133,8
10065,133,8
248,133,6
87,133,6
1006,133,6
10081,136,44
10091,136,8
149,136,6
10081,137,56
139,137,17
10107,138,28
1046,138,12
10062,138,7
1047,138,6
10111,138,6
137,139,52
1042,139,9
87,139,8
145,142,54
144,142,31
145,143,25
1122,143,22
143,143,12
142,144,65
107,144,10
142,145,26
143,145,25
145,145,9
1165,145,8
254,146,28
1024,146,14
1025,146,9
10076,146,9
579,149,55
166,151,13
254,151,7
10091,151,6
10127,151,6
10568,156,28
1173,156,20
156,156,9
0,156,7
1018,160,45
10068,160,16
1026,160,8
10108,161,60
74,161,10
10406,161,8
10080,163,71
164,164,10
10070,164,8
266,164,7
10082,164,7
1019,166,45
1020,166,21
64,168,25
169,168,10
168,168,6
168,169,67
10068,169,6
