143,145,142,144:34742
588,589,590,591:19086
10084,10127,10091,97:17832
136,10081,137,139:17483
93,93,108,115:15231
10568,10122,59,10104:14467
1167,10073,10073,1167:13857
10104,59,10122,10568:13742
10096,230,10095,10097:13707
1087,1088,1168,1089:13562
10097,10095,230,10096:12763
144,142,145,143:12719
259,10013,10014,270:11622
10093,10413,10094,1169:11377
270,10013,10014,259:10666
5,1014,1016,1015:10464
1111,1112,124,126:9275
10094,10413,10093,10098:8953
1015,1016,1014,5:8380
586,587,588,589:7639
579,149,1166,10145:7490
10013,10014,1002,1001:7212
228,10610,10636,10611:7190
591,590,590,591:7085
10056,10057,1413,263:6963
10424,1170,267,10424:6869
267,10424,10424,1170:6768
1111,1112,124,124:6462
1414,2,10005,1:6419
139,137,10081,136:6260
1173,10013,10014,259:6206
10013,10014,270,270:6126
242,1088,1087,10098:5994
10127,10091,97,1413:5958
104,106,112,10053:5956
259,227,227,259:5902
1168,259,10013,10014:5682
53,10072,10005,1:5525
229,10094,10413,10098:5429
10145,1166,1015,1016:5423
574,575,573,572:5368
1077,1074,1016,1015:5341
255,236,254,238:5193
259,10013,10014,1173:5163
10073,1167,1167,10073:5101
138,10107,1048,1184:5050
1014,1016,1015,149:4979
1164,1,2,10627:4854
229,10094,10413,10093:4767
129,10127,10091,97:4720
231,1048,10107,138:4557
263,226,10057,10056:4539
1084,145,142,144:4501
1015,1016,1074,1077:4479
270,1173,1173,270:4445
1014,1016,1015,1166:4443
1115,1081,1082,1301:4406
1001,1002,10013,10014:4322
1016,1015,1166,10145:4172
10636,10610,1034,1182:4155
10013,10014,259,242:4094
1164,10072,243,252:4092
579,149,1015,1016:4080
1113,1111,124,10582:4026
137,10081,136,10084:4018
10100,260,10424,1170:4014
151,10127,10091,97:3993
1166,1015,1016,1014:3974
268,1165,579,149:3951
572,573,575,574:3942
1413,263,267,10424:3934
143,10100,260,10135:3901
1414,10139,10138,176:3863
149,1015,1016,1014:3852
10118,10105,10086,10615:3821
10133,1015,1016,1014:3803
1115,1303,1302,1301:3782
10602,10603,10605,10624:3762
79,78,10116,1414:3756
248,10013,10014,270:3702
2,10005,1,1413:3577
1089,242,1088,1087:3564
1066,1067,1068,1073:3561
591,590,588,586:3535
1165,579,149,1015:3520
263,226,95,94:3423
263,268,1122,143:3423
1165,1002,10013,10014:3404
142,145,143,1122:3313
590,591,591,590:3299
268,1115,1082,1081:3251
2,10005,1,93:3206
259,1002,1007,1006:3201
1414,10118,10105,10086:3189
239,2,10005,1:3161
93,10090,10078,100:3158
1015,1016,1014,1072:3063
10125,10062,10144,1049:3053
1015,1016,1014,274:3032
1087,1088,1168,1092:3032
1115,1081,1082,1171:2985
145,145,142,144:2978
1165,579,149,1166:2973
255,236,238,254:2972
10092,91,1056,10064:2948
137,10081,136,581:2943
1164,1,2,1414:2923
10424,1170,263,226:2885
10145,10013,10014,259:2873
1122,143,145,142:2821
1049,10144,10062,10125:2797
1015,1016,1016,1015:2779
236,254,238,275:2772
10146,10145,1166,149:2765
1089,242,1088,10098:2744
10097,10095,10095,10097:2686
255,236,254,69:2680
10140,10118,10105,10086:2675
255,236,254,275:2660
129,136,10081,137:2656
143,1122,1171,263:2581
10410,82,10073,1167:2562
1414,1078,1076,1075:2547
137,10081,136,129:2545
10064,1056,91,10092:2533
10145,1166,149,579:2502
10056,10057,97,10091:2501
10145,1166,579,149:2499
97,10091,579,149:2494
10413,10094,1169,263:2483
1164,1,10072,243:2477
1002,10013,10014,270:2461
274,10410,5,1014:2455
10624,10605,10603,10602:2454
1092,1089,242,1088:2453
104,106,112,110:2437
129,10136,10136,129:2402
10136,129,129,10136:2393
10623,10622,10621,10620:2377
10637,10612,1070,181:2374
10128,10403,253,1180:2350
10413,10094,10094,10413:2337
10109,120,119,87:2306
1025,238,254,236:2304
10057,10056,10056,10057:2291
270,10013,10014,248:2287
10121,1066,1067,10133:2274
588,587,586,586:2257
1414,1414,1414,1414:2247
10090,93,108,115:2237
10064,10078,10090,93:2233
263,226,1413,263:2227
10013,10014,1166,10145:2221
1187,252,53,10072:2204
100,91,1056,10064:2199
10145,1166,149,1165:2197
1034,10610,10636,10611:2181
1414,1039,10116,78:2168
272,1002,1001,1165:2168
1092,242,1088,1087:2159
10568,10122,10122,10568:2158
1413,263,10095,10097:2157
1180,253,10403,240:2149
10638,1180,253,10403:2148
61,59,10122,10568:2143
10410,10005,1,93:2138
1107,10072,243,252:2127
1016,1015,1023,1022:2126
151,254,238,275:2124
1164,1,2,266:2110
1075,1076,1078,1414:2107
1015,1016,1014,181:2104
263,229,10094,10413:2090
10109,10110,1046,138:2081
10057,10056,253,10403:2075
1167,10073,10056,10057:2066
1028,1027,10076,10077:2064
234,10608,72,10606:2061
10095,10097,10097,10095:2039
1092,242,1088,10098:2036
10098,10093,10413,10094:2032
10140,2,10005,1:2028
1073,1068,1067,1066:2027
10128,10403,10403,253:2026
1180,263,267,10424:2024
10094,230,10095,10097:2011
236,238,254,275:2005
1005,1004,1003,1001:1994
10133,1067,1066,10121:1985
107,144,142,145:1980
104,106,106,104:1979
10057,10056,1187,10007:1977
10097,10095,263,226:1961
582,136,10081,137:1959
1015,1016,1074,1074:1953
10615,10086,10105,10118:1944
10137,1001,1002,259:1941
10091,136,10081,137:1939
10146,10145,10013,10014:1927
106,104,104,106:1925
1122,143,143,1122:1917
1173,270,270,1173:1904
591,590,588,589:1904
247,82,10073,1167:1899
2,10005,1,10078:1887
1115,1301,572,573:1877
10606,10608,71,1181:1871
1180,53,10072,2:1832
579,149,1165,1171:1829
10099,102,10066,97:1824
2,10005,1,97:1820
1070,1014,1016,1015:1817
10638,1180,10638,1180:1816
275,238,254,236:1812
10097,10095,230,10413:1808
234,71,10608,10606:1802
10013,10014,259,263:1801
10013,10014,10013,10014:1796
10064,91,10092,10099:1791
10100,260,10135,1097:1780
10611,10636,10610,1182:1777
579,149,10006,255:1771
10424,1170,263,10638:1770
232,1015,1016,1014:1770
274,10410,10056,10057:1769
261,10100,260,10135:1769
10056,10057,10057,10056:1766
10636,10610,1034,10089:1762
263,226,95,116:1761
252,253,10056,10057:1760
238,254,236,255:1756
10638,1180,53,10072:1753
1166,10013,10014,259:1740
10606,72,10608,1181:1736
10413,10094,10094,1169:1735
1187,1014,1016,1015:1731
1115,1303,1302,1082:1731
1009,1008,1007,1006:1720
1014,1079,1080,1414:1719
263,259,10013,10014:1700
1180,10403,73,240:1698
1005,1006,1007,1002:1696
1016,1015,579,149:1692
10086,10105,10118,10140:1691
10638,1180,10056,10057:1688
1180,253,10403,252:1686
252,53,10072,1107:1672
2,10005,1,101:1669
268,578,1122,143:1665
1165,1171,263,10638:1665
253,10403,73,240:1632
10080,10593,163,10082:1627
10618,10606,10608,1181:1626
579,149,1023,1022:1625
1073,1068,1067,10133:1610
1081,1082,1115,1301:1592
10144,10062,10125,138:1586
1168,259,1002,1001:1580
10100,260,10135,10413:1579
579,149,1166,1166:1579
10100,578,1122,143:1550
10107,138,10110,10109:1541
1015,579,149,1165:1528
10410,1014,1016,1015:1523
229,10094,10093,10098:1522
1015,1016,1014,1075:1513
229,10094,10094,10413:1510
234,10608,10606,10634:1503
10071,10114,10408,252:1497
1303,1302,1301,1301:1488
275,2,10005,1:1484
242,1089,1088,1087:1481
10103,1051,10065,1050:1475
10057,10056,5,1014:1470
10076,10077,10138,10139:1467
10413,230,10095,10097:1460
263,226,97,10091:1460
1014,1016,1015,10134:1459
10120,10119,1073,1015:1456
268,10100,260,10135:1456
10403,10403,253,1180:1455
149,579,1165,1171:1448
102,10092,91,10064:1446
1014,1016,1015,232:1441
149,1166,10145,10146:1433
1079,1077,1074,1015:1433
270,1166,1015,1016:1425
10072,243,253,1180:1421
143,1122,10100,260:1420
1164,10072,243,253:1418
230,10096,10096,230:1416
72,10608,71,1181:1416
1092,259,10013,10014:1416
268,1122,143,111:1410
10097,10095,230,1090:1409
1029,10077,10076,10140:1405
143,1122,1122,143:1402
234,10608,10606,10619:1393
5,237,10088,10130:1392
10099,10092,91,10064:1391
1414,10013,10014,259:1390
1165,10100,260,10135:1387
1165,579,149,10133:1386
10005,1,97,10091:1386
10403,253,10056,10057:1379
102,10092,91,1056:1379
10632,10594,10595,10117:1378
234,71,10608,72:1369
10002,1173,10013,10014:1367
1122,143,577,1165:1365
2,10072,243,253:1361
1002,1001,10136,129:1360
579,149,10568,10122:1350
1122,143,145,145:1350
229,10094,10094,1169:1350
1048,231,10107,138:1346
263,268,1115,1301:1346
10097,10095,267,10424:1343
254,236,255,10006:1338
5,1014,1079,1080:1336
10134,1104,170,232:1332
1122,143,577,576:1329
1014,1016,1015,10002:1325
10637,1014,1016,1015:1317
10087,10117,10595,10594:1310
10410,5,1014,1016:1307
78,10115,10077,10076:1303
10623,10622,10621,10613:1301
1014,1016,1015,1002:1299
10424,1170,263,1180:1296
10115,10077,10076,10140:1294
1073,1015,1166,10145:1291
226,97,10091,10131:1287
10109,10110,1046,10113:1282
1070,10612,10611,181:1277
10002,1173,270,270:1275
1165,149,1166,10145:1274
10145,1166,1166,10145:1271
1184,10013,10014,270:1268
10145,1166,1015,1014:1268
10638,1180,1180,10638:1262
1015,149,579,1165:1262
1089,242,1087,10098:1261
1171,263,226,1413:1256
1015,1016,1014,1182:1255
582,129,10127,10091:1248
1180,253,10403,10626:1247
10099,10092,91,1056:1247
10005,1,1413,263:1245
1182,10013,10014,259:1242
1187,1187,1187,10007:1240
1019,75,10076,10077:1237
1006,1007,1002,259:1236
1091,259,10013,10014:1236
2,10005,1,107:1235
243,252,1187,10007:1230
10405,10124,10123,264:1229
145,142,144,1165:1228
10005,1,10078,100:1224
1014,1016,1015,170:1223
1014,1016,1015,1023:1221
1025,238,254,151:1216
10131,10127,10091,97:1212
1015,1016,1014,10616:1211
1014,1016,1015,10133:1210
226,95,1413,10638:1206
149,10568,10122,59:1206
252,53,10005,1:1204
10610,10636,10611,10612:1202
581,579,149,1166:1199
170,1015,1016,1014:1194
265,1015,1016,1014:1193
1167,1167,10073,82:1192
248,10129,1041,10103:1191
10611,10636,10610,1034:1189
275,254,236,255:1187
1165,1115,1301,570:1185
1074,1016,1015,149:1184
586,586,586,586:1184
265,10002,1173,270:1180
1115,1082,1301,570:1179
10097,10095,230,10098:1178
10068,10104,10122,10568:1173
226,1164,1,2:1172
1187,5,1014,1016:1172
274,10410,10142,5:1170
263,1180,253,10403:1168
1167,10073,5,1014:1167
1115,1301,572,575:1166
10627,2,10005,1:1163
584,1001,1002,259:1162
1115,1303,1302,1081:1161
151,238,254,275:1159
1016,1015,149,579:1158
10109,10110,1043,10113:1155
145,143,1122,1171:1155
1092,242,1087,10098:1155
1169,259,10013,10014:1155
588,586,586,587:1146
1014,1015,1166,10145:1145
1303,1302,1301,1115:1144
227,227,10013,10014:1142
104,106,112,1084:1142
10134,1104,232,170:1132
263,1176,10409,247:1130
252,10626,163,10082:1125
1115,1303,1302,1115:1125
10115,1074,1016,1015:1118
1115,1301,573,575:1117
1067,1066,10121,68:1116
10057,10056,10073,1167:1116
10136,129,579,149:1114
10629,10615,10086,10105:1107
143,145,145,143:1106
124,124,571,570:1104
1025,254,236,255:1101
1164,10072,253,243:1097
1074,10115,10077,10076:1095
1087,1088,1168,259:1094
272,227,227,272:1092
10134,1104,170,1166:1091
2,10005,1,112:1090
1166,579,149,1165:1090
230,259,10013,10014:1090
10013,10014,1173,265:1088
10109,10110,138,1184:1088
1166,10568,10122,10104:1087
579,149,579,149:1087
1114,1121,11,9:1086
1006,1005,1004,1003:1086
1164,1,2,10628:1086
10094,1169,263,226:1085
10094,1169,10095,10097:1084
10118,10105,10086,10128:1084
151,254,69,66:1079
112,10053,145,1171:1076
149,10084,10127,10091:1075
1002,1015,1016,1014:1073
10100,260,10135,10096:1071
1091,259,1002,1001:1070
10113,1046,10110,10109:1067
10077,10076,10405,10124:1066
10109,10110,1046,1047:1064
259,10013,10014,228:1057
10617,10595,10594,10632:1056
2,10072,253,243:1056
1115,1302,1301,1301:1055
145,142,144,145:1054
1413,263,267,1170:1053
10004,1015,1016,1014:1051
10146,10146,10146,10146:1050
1114,1083,1121,11:1047
584,582,1165,1171:1040
1021,68,10121,1066:1039
10139,10138,176,10076:1039
231,10107,138,10109:1038
10072,253,243,1180:1038
1002,1001,579,149:1037
10082,10080,10117,10087:1036
10612,10637,1014,1016:1036
10612,10611,10636,10610:1031
1047,10125,10062,10144:1031
1080,1079,1077,1074:1029
263,226,95,1413:1026
270,10013,10014,1002:1026
2,10072,243,252:1023
581,136,10081,137:1019
94,10064,91,10092:1019
1021,68,10121,10133:1019
5,1070,10616,1072:1017
10100,260,10135,10135:1017
228,1014,1016,1015:1016
112,10053,1084,143:1016
1002,259,242,1088:1011
10409,10409,10409,10409:1010
579,149,1015,1073:1009
1001,1003,1004,1005:1009
1014,5,10056,10057:1008
1173,1173,270,270:1007
10096,230,263,226:1006
85,84,92,1055:1006
1111,1112,124,570:1002
