10087,10117,10595,10594,10632,10080,10593,163,10082:2862
10568,10122,59,10104,10068,1018,10126,160,10070:1520
85,84,92,1057,10099,10092,91,1056,10064:1022
10064,1056,91,10092,10099,1057,1055,92,10127:642
10071,10070,10126,1018,10068,10104,59,10122,10568:625
5,10602,10603,10605,10624,10623,10622,10621,10620:594
10064,91,10092,10099,1057,1055,92,84,85:554
10623,10622,10621,10620,10619,10606,10608,71,1181:511
10064,1056,91,10092,10099,1057,1055,92,84:508
1069,10602,10603,10605,10624,10623,10622,10621,10620:456
10082,10593,10080,10632,10594,10595,10117,10087,10613:447
85,84,92,1055,1057,10099,10092,91,10064:442
10602,10603,10605,10624,10623,10622,10621,10620,10619:439
10127,83,92,1057,10099,10092,91,1056,10064:436
10064,1056,91,10092,10099,1057,1055,92,10131:421
10064,1056,91,10092,10099,1057,92,84,85:416
10620,10621,10622,10623,10624,10605,10603,10602,5:415
10123,10124,10405,171,1025,1028,1027,10076,10077:410
85,84,92,1055,1057,10092,91,1056,10064:404
10602,10603,10605,10624,10623,10622,10621,10620,1182:402
586,588,589,590,591,591,590,588,586:390
84,92,1055,1057,10099,10092,91,1056,10064:383
10591,10082,10593,10080,10632,10594,10595,10117,10087:377
10071,10123,10124,10405,1025,1028,1027,10076,10077:375
139,137,10081,136,10084,10127,10091,97,1413:374
10620,10621,10622,10623,10624,10605,10603,10602,1069:370
10568,10122,10104,10068,1018,10126,160,10070,173:367
83,92,1055,1057,10099,10092,91,1056,10064:349
229,10094,10413,10093,10098,10093,10413,10094,1169:344
10623,10622,10621,10620,10619,10606,72,10608,1181:342
10070,10126,1018,172,172,10104,59,10122,10568:328
10633,10597,10634,10609,10606,72,10608,71,1181:327
10568,10122,59,10104,10068,10126,160,10070,10071:324
10131,92,1055,1057,10099,10092,91,1056,10064:323
10568,10122,10104,10068,1018,10126,160,10070,10071:323
10595,10117,10087,10634,10609,10606,10608,71,1181:321
234,71,10608,72,10606,10619,10620,10621,10622:318
591,590,588,586,586,588,589,590,591:311
10568,10122,10104,10068,1018,10126,160,10070,172:309
87,139,137,10081,136,10084,10127,10091,97:307
1029,10077,10076,10405,10124,10123,264,171,10071:299
266,10082,10593,10080,10632,10594,10595,10117,10087:297
10568,10122,59,10104,10068,10126,160,10070,172:294
1164,1,1107,182,182,1107,10005,1,93:293
10123,10124,171,10405,1025,1028,1027,10076,10077:293
10568,10122,59,10104,10068,10126,160,10070,173:284
10595,10117,10087,10634,10609,10606,72,10608,1181:281
10595,10117,10087,10634,10609,10606,10608,1181,269:278
10064,1056,91,10092,10099,1055,92,84,85:273
149,92,1055,1057,10099,10092,91,1056,10064:269
1122,143,145,142,144,142,145,143,1122:265
10145,10013,10014,227,227,10013,10014,1166,10145:260
1108,10635,10089,1034,10610,10636,10611,10612,10637:259
10064,1056,91,10092,10099,1057,1055,92,85:258
10070,10126,1018,10068,10104,59,10122,10568,1166:257
10082,10593,10080,10632,10594,10595,10117,10613,10620:257
1069,10602,10603,10605,10624,10636,10610,1034,1182:250
269,234,10608,10606,10634,10087,10117,10595,10625:244
10596,10117,10595,10594,10632,10080,10593,163,10082:243
88,139,137,10081,136,10084,10127,10091,97:242
10623,10622,10621,10620,10619,72,10608,71,1181:240
10620,10621,10622,10624,10605,10603,10602,1069,5:238
228,10610,10636,10617,10595,10594,10632,10080,10593:238
85,92,1055,1057,10099,10092,91,1056,10064:233
10127,83,92,1055,1057,10099,10092,91,10064:232
10623,10622,10621,10620,10606,72,10608,71,1181:232
10070,10126,1018,10068,172,10104,59,10122,10568:231
10597,10633,10117,10595,10594,10632,10593,163,10082:230
10115,10077,10076,10405,10124,10123,264,171,10071:230
10624,10605,10603,10602,237,10088,10130,73,240:225
10618,10635,10089,1034,10610,10636,10611,10612,10637:221
10089,10635,1108,10618,10606,72,10608,71,1181:220
160,10070,10082,10593,10080,10632,10594,10595,10117:218
10621,10621,10620,10619,10606,72,10608,71,1181:215
1002,1010,1008,1007,1006,1005,1004,1003,1001:215
10620,10621,10622,10623,10624,10605,10603,10602,237:215
10109,10110,1046,138,10107,1184,10013,10014,270:213
1034,10610,10636,10611,10612,10637,1014,1016,1015:212
252,53,10072,10005,1,93,93,108,115:209
234,10608,10606,10635,10089,1034,10610,10636,10611:208
10128,10632,10594,10595,10117,10636,10610,1034,1182:206
10636,10610,10089,10635,10618,72,10608,71,1181:203
10624,10605,10603,10602,1069,1037,10005,1,10078:200
10602,10603,10605,10624,10623,10622,10621,10620,1035:198
10624,10605,10603,10602,5,1037,10005,1,10078:197
10127,83,92,1055,1057,10099,10092,91,1056:195
10109,10110,1046,138,10107,1048,1184,10013,10014:189
144,142,145,143,1122,143,145,142,144:187
85,84,92,1055,1057,10099,10092,91,1056:186
228,10610,10636,10624,10605,10603,10602,1069,237:184
10070,10126,1018,10068,10104,59,10122,10568,156:184
10126,1018,10068,10104,59,10122,10568,1166,10145:184
1042,139,137,10081,136,10084,10127,10091,97:181
10082,10593,10080,10632,10594,10595,10117,10613,1182:180
228,10620,10621,10622,10623,10624,10605,10603,10602:180
1066,1067,1068,1073,1016,1074,1077,1079,1080:179
10624,10605,10603,10602,1069,237,10088,10130,240:178
1122,143,145,142,144,144,142,145,143:178
10070,10126,1018,10068,10104,59,10122,10568,10002:177
10070,10126,1018,10104,59,10122,10568,1166,10145:177
10070,10126,1018,172,10068,10104,59,10122,10568:176
92,1055,1057,10099,10092,91,1056,10064,10078:176
94,10064,1056,91,10092,10099,1057,1055,92:175
1180,53,10072,10005,1,93,93,108,115:174
10123,10124,10405,1025,1028,1027,10076,10077,1029:173
10082,10593,10632,10594,10595,10117,10087,10633,10597:172
234,10608,72,10606,10619,10620,10621,10622,10623:172
10070,10126,1018,10068,10104,59,10122,10568,149:170
234,71,10608,10606,10619,10620,10621,10622,10623:170
10080,10632,10594,10595,10117,10636,10610,1034,1182:169
107,144,142,145,143,10100,260,10424,1170:168
10620,10613,10596,10117,10595,10594,10632,10080,10593:167
10127,83,92,1055,1057,10092,91,1056,10064:167
574,575,573,572,1115,1303,1302,1082,1081:164
10620,10033,10619,10038,10606,72,10608,71,1181:164
137,10081,136,10084,10127,10091,97,10057,10056:162
5,10602,10603,10605,10624,10636,10610,1034,1182:160
142,145,143,1122,1122,143,145,142,144:159
1030,10085,10058,1026,75,175,1019,166,151:157
10620,10621,10622,10624,10605,10603,10602,1069,237:157
234,71,10608,10606,10634,10087,10117,10595,10594:152
77,10070,10126,1018,10068,10104,59,10122,10568:151
234,10608,72,10606,10634,10087,10117,10595,10594:149
10612,10603,10625,10594,10632,10080,10593,163,10082:148
10082,10593,10080,10632,10594,10595,10117,10636,10610:147
10593,10080,10632,10594,10595,10117,10087,10633,10597:144
10624,10605,10603,10602,1069,237,10088,10130,73:143
1069,10602,10603,10605,10624,10623,10622,10621,10613:143
270,10013,10014,231,10107,138,1046,10110,10109:142
10082,10593,10080,10594,10595,10117,10087,10633,10597:142
149,10131,92,1057,10099,10092,91,1056,10064:141
10082,10593,10080,10632,10594,10625,10603,10600,10612:141
10087,10117,10595,10594,10632,10080,10593,10626,10406:139
228,10610,10636,10624,10605,10603,10602,1069,5:139
10130,10088,10602,10603,10605,10624,10623,10622,10621:137
85,84,92,1055,10099,10092,91,1056,10064:137
1001,1003,1004,1005,1006,1007,1008,1010,1002:136
234,71,10608,10606,10634,10087,10117,10595,10625:136
10610,10636,10617,10595,10594,10632,10593,163,10082:136
10071,10070,10126,1018,172,10104,59,10122,10568:134
1080,1079,1077,1074,1016,1073,1068,1067,1066:134
1070,10602,10603,10605,10624,10623,10622,10621,10620:133
10568,10122,59,10104,10068,1018,160,10070,10071:132
10127,92,1055,1057,10099,10092,91,1056,10064:132
92,1057,10099,10092,91,1056,10064,10057,10056:132
10620,10621,10622,10623,10624,10605,10602,1069,5:132
10145,1166,10568,10122,59,10104,10068,1018,10126:132
10406,10128,10632,10594,10595,10117,10087,10633,10597:132
586,587,588,590,591,591,590,588,586:132
10568,10122,59,10104,10068,1018,10126,160,173:131
129,92,1055,1057,10099,10092,91,1056,10064:131
10146,10145,1166,255,236,254,146,1024,52:131
234,71,10608,72,10606,72,10608,71,1181:130
103,97,10066,102,102,10066,97,101,103:130
234,10608,72,10606,10634,10087,10117,10595,10625:130
10090,93,1164,1037,82,10602,10603,10605,10624:129
10070,10126,172,1018,10068,10104,59,10122,10568:129
10633,10117,10595,10594,10632,10080,10593,163,10082:128
10568,10122,59,10104,10068,1018,160,10070,173:127
10088,10602,10603,10605,10624,10623,10622,10621,10620:127
10621,10622,10624,10605,10603,10602,1069,1070,1014:127
10603,10605,10624,10623,10622,10621,10620,1035,1182:126
1030,10085,10058,1026,175,75,1019,166,151:126
10088,1069,10602,10603,10605,10624,10623,10622,10621:126
10056,10057,10064,91,10092,10099,1057,1055,92:125
228,10610,10636,10611,10612,10611,10636,10610,1182:125
234,10608,72,10606,10635,10089,10610,10636,10611:123
10145,1166,1015,1016,1014,10080,10593,163,10082:122
234,71,10608,72,10619,10620,10621,10622,10623:122
10070,172,10126,1018,10068,10104,59,10122,10568:122
234,10608,72,10606,10606,72,10608,71,1181:122
10568,10122,59,10104,10068,1018,10126,160,172:121
10123,10124,10405,1025,171,1028,1027,10076,10077:121
10624,10623,10622,10621,10620,10619,10606,10608,1181:120
107,144,142,145,143,143,145,142,144:120
1108,10635,10089,1034,10610,10636,10611,1070,181:119
10131,102,91,1056,10064,10078,10090,93,145:119
10084,10127,10091,97,1164,1,10072,243,252:118
10056,10057,10064,1056,91,10092,10099,1057,92:118
10109,1046,138,10107,1048,1184,10013,10014,270:117
137,10081,136,10084,10127,10091,97,1413,10638:117
10568,10122,59,10104,10068,1018,160,10070,172:115
149,10568,10122,10104,10068,1018,10126,160,10070:115
1001,1003,1004,1005,1006,1005,1004,1003,1001:115
264,10082,10593,10080,10632,10594,10595,10117,10087:115
156,10568,10122,10104,10068,1018,10126,160,10070:114
10090,93,1164,82,5,10602,10603,10605,10624:113
234,71,10608,10606,10635,10089,10610,10636,10611:113
1056,91,10092,10099,1057,1055,92,84,85:112
234,71,10608,72,10606,10606,10608,71,1181:112
10619,10620,10621,10622,10623,10624,10605,10603,10602:112
10568,10122,59,10104,64,10104,59,10122,10568:112
10082,10593,10080,10632,10594,10595,10117,10087,10633:111
1001,1009,1008,1007,1006,1005,1004,1003,1001:111
10617,10595,10594,10632,10080,10593,163,10082,164:110
10568,10122,59,10104,10068,1018,10126,10070,173:110
228,10635,1108,10618,10606,72,10608,71,1181:109
10620,10621,10622,10623,10624,10605,10602,1069,237:109
270,10013,10014,259,1089,242,1088,1087,10098:109
69,275,2,10005,1,93,93,108,115:108
10126,1018,10104,59,10122,10568,156,1173,270:108
10622,10621,10620,10619,10606,72,10608,71,1181:107
234,71,10608,10606,10606,72,10608,71,1181:107
1075,1076,1078,1080,1079,1077,1074,1016,1015:106
10621,10622,10623,10624,10605,10603,10602,1069,5:106
10624,10605,10603,10602,1069,1070,1014,1016,1015:105
10636,10610,10089,10635,10618,10606,10608,71,1181:105
234,71,10618,10635,10089,1034,10610,10636,10611:105
10056,10057,10064,1056,91,10092,10099,102,10066:104
10140,10118,10105,10086,10128,10403,10403,253,1180:104
586,588,590,591,591,590,588,587,586:104
234,71,10608,72,10606,10634,10087,10117,10595:103
10128,10632,10594,10595,10117,10087,10634,10609,10618:103
143,145,142,144,144,142,145,143,1122:102
10070,10126,1018,10068,10104,10122,10568,1166,10145:102
10080,10632,10594,10595,10117,10087,10634,10609,10618:102
10612,10611,10636,10610,1034,10089,10635,1108,1181:102
10624,10617,10595,10594,10632,10080,10593,163,10082:102
10071,10123,10124,10405,171,1025,1028,1027,10076:101
10568,10122,59,10104,10068,1018,10126,10070,172:101
267,10424,10100,578,1122,143,145,142,144:100
574,575,573,572,1303,1302,1115,1082,1081:100
5,10602,10603,10605,10624,10623,10622,10621,10613:99
1015,1074,1077,1080,1080,1079,1077,1074,1015:99
247,82,5,10602,10600,10612,10603,10602,1069:99
10638,1180,253,10403,73,275,238,254,236:98
92,1055,1057,10099,10092,91,1056,10064,1413:98
1187,5,1070,10629,10615,10086,10105,10118,10140:98
227,1009,1008,1007,1006,1005,1004,1003,1001:97
266,10082,10593,10080,10632,10594,10595,10117,10613:97
10613,10596,10117,10595,10594,10632,10593,163,10082:96
234,10608,10606,10619,10620,10621,10622,10624,10605:96
10620,10621,10622,10623,10624,10605,10603,10602,274:96
10084,10127,83,92,1057,10099,10092,91,1056:96
10109,10110,1046,138,1048,1184,10013,10014,270:96
5,10602,10603,10605,10624,10623,10622,10621,1182:95
10087,10117,10595,10594,10632,10080,10593,10626,10108:95
10064,91,10092,10099,1057,1055,92,84,149:95
234,71,10608,72,10606,10606,72,10608,1181:95
234,71,10608,72,10606,10635,10089,1034,10610:95
274,10410,10142,5,1014,1016,1015,1166,10145:94
259,1002,1007,1006,1005,1006,1007,1002,259:94
10568,10122,59,10104,10068,1018,10126,10070,10071:94
10097,10095,230,10096,10098,10096,230,10095,10097:94
151,83,92,1057,10099,10092,91,1056,10064:94
5,1070,10612,10611,10636,10610,1034,181,1182:93
10620,10622,10623,10624,10605,10603,10602,1069,5:93
10618,10635,10089,1034,10610,10636,10611,1070,181:93
10595,10117,10087,10634,10609,72,10608,71,1181:92
10597,10633,10087,10117,10595,10594,10632,10080,10593:92
10145,10133,1067,1068,1073,1074,1077,1079,1080:91
10071,10070,10126,1018,172,172,10104,10122,10568:91
137,10081,136,579,149,10568,10122,59,10104:91
95,94,10057,10056,247,82,82,10056,10057:90
10082,10593,10080,10632,10594,10595,10117,10633,10597:90
10133,1023,1022,1036,10002,265,1036,1023,10133:90
10613,10596,10117,10595,10594,10632,10080,10593,10108:89
149,10568,10122,59,10104,10068,10126,160,10070:89
1164,1,2,10108,10108,2,10005,1,93:89
10109,10110,138,10107,1048,1184,10013,10014,270:88
10624,10605,10603,10602,1069,1070,10629,10615,10086:87
10090,93,1164,1,82,10602,10603,10605,10624:87
10070,172,172,1018,10068,10104,59,10122,10568:87
10013,10014,231,1048,10107,138,1046,10110,10109:87
10636,10610,10089,10635,1108,10618,10606,10608,1181:87
10610,10636,10624,10605,10603,10602,237,10088,10130:87
10070,10126,1018,10068,10104,59,10122,10568,232:86
10082,10593,10080,10632,10594,10625,10603,10605,10624:86
10636,10610,10089,10635,10618,10606,72,10608,1181:86
10070,10126,1018,10068,10104,59,10122,10568,1036:86
