10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618:913
268,143,145,142,144,95,144,142,145,143,1171:908
10618,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:753
10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:703
228,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:558
269,234,71,10608,72,10606,10634,10087,10117,10595,10625:490
10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:465
234,71,10608,72,10606,10635,10089,1034,10610,10636,10611:451
10568,10122,59,10104,10068,1018,10126,160,10070,172,10071:427
10145,1166,10568,10122,59,10104,10068,1018,10126,160,10070:413
10595,10117,10087,10634,10609,10606,72,10608,71,1181,269:367
10636,10610,1034,10089,10635,1108,10618,10606,10608,71,1181:314
10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:310
10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:303
10636,10610,1034,10089,10635,1108,10618,10606,72,10608,1181:280
10082,10593,10080,10632,10594,10595,10117,10636,10610,1034,1182:275
10591,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597:268
234,71,1075,1076,1078,1080,1080,1078,1076,1075,1181:261
10568,10122,59,10104,10068,1018,10126,160,10070,173,172:254
10636,10610,10089,10635,1108,10618,10606,72,10608,71,1181:240
10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:228
10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:228
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605:215
10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:206
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632:202
10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:201
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603:196
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605:196
10636,10610,1034,10089,10635,10618,10606,72,10608,71,1181:190
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605:182
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603:180
149,10568,10122,59,10104,10068,1018,10126,160,10070,172:175
10070,10126,1018,10068,10104,59,10122,10568,156,1173,270:173
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620:171
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603:171
10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:170
1034,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:170
10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:165
266,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597:163
149,67,64,168,65,10017,149,136,120,119,87:161
1173,156,10568,10122,59,10104,10068,1018,10126,160,10070:161
10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:154
156,10568,10122,59,10104,10068,1018,10126,160,10070,173:152
586,587,588,589,590,591,591,590,588,587,586:150
10602,10603,10605,10624,10623,10622,10621,10620,10619,10608,1181:148
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620:146
234,71,10608,72,10606,10620,10621,10622,10623,10624,10605:145
10090,93,1164,1,1037,82,5,10602,10603,10605,10624:141
591,590,588,587,586,586,587,588,589,590,591:140
