10082,10593,10080,10632,10594,10595,10117,10087,10633,10597:1793
85,84,92,1055,1057,10099,10092,91,1056,10064:1190
10568,10122,59,10104,10068,1018,10126,160,10070,172:864
10568,10122,59,10104,10068,1018,10126,160,10070,173:864
10623,10622,10621,10620,10619,10606,72,10608,71,1181:842
10568,10122,59,10104,10068,1018,10126,160,10070,10071:777
10597,10633,10117,10595,10594,10632,10080,10593,163,10082:771
10064,1056,91,10092,10099,1057,1055,92,84,85:616
10127,83,92,1055,1057,10099,10092,91,1056,10064:585
10595,10117,10087,10634,10609,10606,72,10608,71,1181:512
10610,10636,10617,10595,10594,10632,10080,10593,163,10082:466
10613,10596,10117,10595,10594,10632,10080,10593,163,10082:371
269,234,71,10608,10606,10634,10087,10117,10595,10625:347
10595,10117,10087,10634,10609,10606,72,10608,1181,269:344
10070,10126,1018,10068,10104,59,10122,10568,1166,10145:343
586,587,588,589,590,591,591,590,588,586:338
234,71,10608,72,10606,10619,10620,10621,10622,10623:330
10624,10605,10603,10602,1069,237,10088,10130,73,240:296
269,234,10608,72,10606,10634,10087,10117,10595,10625:293
234,10608,72,10606,10635,10089,1034,10610,10636,10611:291
5,10602,10603,10605,10624,10623,10622,10621,10620,10619:291
144,142,145,143,1122,1122,143,145,142,144:284
1122,143,145,142,144,144,142,145,143,1122:280
10602,10603,10605,10624,10623,10622,10621,10620,1035,1182:272
234,71,10608,10606,10635,10089,1034,10610,10636,10611:269
156,10568,10122,59,10104,10068,1018,10126,160,10070:267
149,10568,10122,59,10104,10068,1018,10126,160,10070:259
10595,10117,10087,10634,10609,10606,10608,71,1181,269:257
143,145,142,144,95,144,142,145,143,1171:247
234,71,10608,72,10606,10634,10087,10117,10595,10594:244
10109,10110,1046,138,10107,1048,1184,10013,10014,270:243
591,590,588,586,586,587,588,589,590,591:232
10618,10634,10087,10117,10595,10594,10632,10593,163,10082:226
10624,10605,10603,10602,1069,5,1037,10005,1,10078:225
234,71,10608,72,10606,10634,10087,10117,10595,10625:224
10620,10621,10622,10623,10624,10605,10603,10602,1069,5:218
10082,10593,10080,10632,10594,10595,10117,10636,10610,1034:214
10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:212
10070,10126,1018,10068,172,172,10104,59,10122,10568:208
10597,10633,10087,10117,10595,10594,10632,10593,163,10082:206
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620:203
228,10610,10636,10617,10595,10594,10632,10593,163,10082:198
143,145,142,144,574,574,144,142,145,143:197
10090,93,1164,1037,82,5,10602,10603,10605,10624:197
10082,10593,10080,10632,10594,10595,10117,10087,10613,10620:195
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620:195
10624,10623,10622,10621,10620,10619,10606,10608,71,1181:194
234,71,10608,72,10606,10606,72,10608,71,1181:191
10071,10070,10126,1018,172,172,10104,59,10122,10568:190
10082,10593,10080,10632,10594,10595,10117,10636,10610,1182:189
10636,10610,1034,10089,10635,1108,10618,10606,10608,1181:188
586,588,589,590,591,591,590,588,587,586:188
10145,1166,10568,10122,10104,10068,1018,10126,160,10070:182
234,10608,10606,10619,10620,10621,10622,10623,10624,10605:176
10082,10593,10080,10632,10594,10595,10117,10087,10613,1182:174
10621,10622,10623,10624,10605,10603,10602,237,10088,10130:171
234,10608,10606,10619,10620,10621,10622,10624,10605,10603:171
1166,10568,10122,59,10104,10068,1018,10126,160,10070:171
5,10602,10603,10605,10624,10623,10622,10621,10620,1182:171
10126,1018,10068,10104,59,10122,10568,156,1173,270:170
160,10070,10082,10593,10080,10632,10594,10595,10117,10087:167
10087,10117,10595,10594,10632,10080,10593,163,10082,164:166
10637,10612,10603,10625,10594,10632,10080,10593,163,10082:165
234,71,10608,72,10635,10089,1034,10610,10636,10611:160
234,1075,1076,1078,1080,1080,1078,1076,1075,1181:159
10636,10610,10089,10635,10618,10606,72,10608,71,1181:159
10568,10122,10104,10068,1018,10126,160,10070,172,10071:158
10056,10057,10064,1056,91,10092,10099,1057,1055,92:157
265,10568,10122,59,10104,10068,1018,10126,160,10070:154
10089,1034,10610,10636,10611,10612,10637,1014,1016,1015:150
87,1042,139,137,10081,136,10084,10127,10091,97:148
591,590,588,587,586,586,588,589,590,591:147
10070,10126,1018,10104,59,10122,10568,156,1173,270:146
10636,10610,10089,10635,1108,10618,10606,10608,71,1181:145
10568,10122,59,10104,10068,10126,160,10070,172,10071:145
10070,10126,1018,10068,10104,59,10122,10568,156,1173:144
10070,172,172,10126,1018,10068,10104,59,10122,10568:143
10621,10622,10623,10624,10605,10603,10602,1014,1016,1015:143
234,71,10608,72,10606,10635,10089,10610,10636,10611:143
10133,10568,10122,59,10104,10068,1018,10126,160,10070:137
10070,10126,1018,172,172,10068,10104,59,10122,10568:137
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621:134
10602,10603,10605,10624,10623,10622,10621,10620,10619,10618:134
10624,10623,10622,10621,10620,10619,10606,72,10608,1181:133
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609:133
1069,10602,10603,10605,10624,10623,10622,10621,10620,1182:132
10071,10070,10126,1018,10068,172,10104,59,10122,10568:132
234,10608,72,10606,10619,10620,10621,10622,10624,10605:130
10620,10613,10596,10117,10595,10594,10632,10593,163,10082:129
1187,252,53,10072,10005,1,93,93,108,115:129
10145,1166,10568,10122,59,10104,10068,10126,160,10070:129
10605,10624,10623,10622,10621,10620,10606,10608,71,1181:129
234,10608,72,10606,10634,10087,10117,10595,10594,10632:128
10618,1108,10635,10089,1034,10610,10636,10611,10612,10637:125
133,87,139,137,10081,136,10084,10127,10091,97:125
10620,10613,10596,10117,10595,10594,10632,10080,10593,10108:124
10087,10633,10597,10634,10609,10606,72,10608,71,1181:122
151,83,92,1055,1057,10099,10092,91,1056,10064:121
228,10610,10636,10611,10612,10611,10636,10610,1034,1182:121
228,10610,10636,10624,10605,10603,10602,237,10088,10130:119
149,10131,92,1055,1057,10099,10092,91,1056,10064:119
10621,10622,10624,10605,10603,10602,1069,237,10088,10130:119
92,1055,1057,10099,10092,91,1056,10064,10057,10056:119
234,71,10608,10606,10634,10087,10117,10595,10594,10632:118
10071,10123,10124,10405,171,1025,1028,1027,10076,10077:117
234,10608,10619,10620,10621,10622,10623,10624,10605,10603:116
232,10568,10122,59,10104,10068,1018,10126,160,10070:115
234,71,10608,10606,10619,10620,10621,10622,10624,10605:114
10605,10624,10623,10622,10621,10620,10619,10608,71,1181:114
10064,1056,91,10092,10099,1057,1055,92,84,149:111
10611,10636,10610,10089,10635,10618,72,10608,71,1181:111
269,234,71,10608,72,10634,10087,10117,10595,10625:111
10605,10624,10623,10622,10621,10620,10606,72,10608,1181:110
10636,10610,10089,10635,1108,10618,10606,72,10608,1181:110
10638,1180,53,10072,10005,1,93,93,108,115:110
228,10620,10621,10622,10623,10624,10605,10603,10602,5:110
10636,10610,1034,10089,10635,10618,10606,72,10608,1181:109
228,1035,1034,10610,10636,10624,10605,10603,10602,1069:109
10568,10122,59,10104,10068,1018,10126,160,10070,10082:109
10057,10056,10602,10603,10605,10624,10623,10622,10621,10620:109
259,1002,1010,1008,1007,1006,1005,1004,1003,1001:108
234,10608,72,10606,10620,10621,10622,10623,10624,10605:107
10620,10621,10622,10623,10624,10605,10603,10602,1069,237:107
107,144,142,145,143,1122,10100,260,10424,1170:106
10636,10610,1034,10089,10635,10618,72,10608,71,1181:106
10636,10610,1034,10089,10635,10618,10606,10608,71,1181:105
10090,93,1164,1,1037,82,10602,10603,10605,10624:105
228,10610,10636,10617,10595,10594,10632,10080,10593,163:104
1079,1077,1074,1016,1073,1068,1067,1066,1166,10145:104
10602,10603,10605,10624,10623,10622,10621,10620,10619,1108:103
270,1173,156,10568,10122,59,10104,10068,1018,10126:99
10146,10145,1166,255,236,254,238,146,1024,52:99
5,10629,10615,10086,10105,10118,10105,10086,10615,5:98
10146,10145,1166,255,236,238,254,146,1024,52:98
10612,10611,10636,10610,10089,10635,10618,10606,10608,1181:98
234,71,10608,72,10606,10635,10089,1034,10610,10636:97
10632,10594,10595,10117,10087,10633,10597,10634,10609,10618:97
10633,10087,10117,10595,10594,10632,10080,10593,163,10082:96
94,10064,91,10092,10099,1057,1055,92,84,85:96
234,71,10608,72,10606,10619,1034,10610,10636,10611:95
10595,10117,10087,10633,10597,10634,10609,10606,10608,1181:95
149,64,168,65,10017,149,136,120,119,87:95
10620,10613,10596,10117,10595,10594,10632,10080,10593,10626:95
85,84,92,1057,10099,10092,91,1056,10064,1413:94
228,1035,10620,10621,10622,10624,10605,10603,10602,1069:94
10097,10095,229,10094,10413,10413,10094,1169,10095,10097:93
1015,1016,1074,1077,1080,1079,1077,1074,1016,1015:93
95,97,91,1056,91,10092,10099,102,10066,97:93
10130,10088,10602,10603,10605,10624,10636,10610,1034,1182:92
10624,10623,10622,10621,10620,10619,72,10608,71,1181:92
234,10608,10606,1108,10635,10089,1034,10610,10636,10611:92
87,139,137,10081,136,10084,10127,10091,97,1413:92
10084,83,92,1055,1057,10099,10092,91,1056,10064:92
10595,10117,10087,10634,10609,72,10608,71,1181,269:91
10090,93,1164,1,82,5,10602,10603,10605,10624:91
10071,10070,10126,1018,172,10068,10104,59,10122,10568:91
10605,10624,10623,10622,10621,10620,10619,72,10608,1181:91
10144,10062,10125,10113,10111,10111,10113,10125,10062,10144:90
10612,10611,10636,10610,10089,10635,10618,10608,71,1181:89
5,10595,10117,10087,10634,10609,10606,10608,71,1181:88
10070,10126,172,172,1018,10068,10104,59,10122,10568:87
5,10602,10603,10605,10624,10623,10622,10621,10620,1035:86
10071,10123,10124,10405,1025,1028,1027,10076,10077,1029:86
10088,1069,10602,10603,10605,10624,10623,10622,10621,10613:86
228,10610,10636,10617,10595,10594,10632,10080,10593,10626:86
234,71,10608,10606,10620,10621,10622,10623,10624,10605:86
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619:86
10071,10123,10124,171,10405,1025,1028,1027,10076,10077:86
10624,10623,10622,10621,10620,10606,72,10608,71,1181:85
