10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:32
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10629,10615,10086,10105,10118,10140:32
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,2,10005,1:31
1164,1,2,266,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:27
10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033:26
228,10620,10621,10622,10623,10624,10605,10603,10602,5,82,5,10602,10603,10605,10624,10623,10622,10621,10620,1182:21
10618,10634,10087,10117,10595,10594,10632,10593,163,10082,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618:21
10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597:21
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,2,10005,1:18
10068,1018,10126,160,10070,172,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:16
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,275,238,254:14
228,10620,10621,10622,10624,10605,10603,10602,1069,5,82,5,10602,10603,10605,10624,10623,10622,10621,10620,1182:14
254,238,275,73,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:14
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,275,238,254:13
1164,1,2,73,10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:13
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:11
10068,1018,10126,160,10070,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:10
