1075,1076,1078,1080,1079,1077,1074,1073,1068,1067,1066,1066,1067,1068,1073,1074,1077,1079,1080,1078,1076,1075:69
10618,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618:53
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618,10618,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:24
10140,10105,10086,10615,10616,10623,10622,10621,10620,10619,10619,10620,10621,10622,10623,10616,10629,10615,10086,10105,10118,10140:16
10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033:15
10068,1018,10126,160,10070,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:14
10140,10105,10086,10615,10616,1072,10623,10622,10621,10620,10619,10619,10620,10621,10622,10616,10629,10615,10086,10105,10118,10140:12
10591,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:12
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130,73,2,10005,1:11
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:10
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:9
10097,10095,230,10096,10093,10098,10093,10096,230,10095,10097,10097,10095,230,10096,10093,10098,10093,10096,230,10095,10097:8
10129,10103,133,87,137,10081,136,129,10136,104,106,10136,129,582,520,136,10081,137,139,87,10103,10129:8
234,71,1075,1076,1078,1080,1080,1078,1076,1075,1181,234,71,1075,1076,1078,1080,1080,1078,1076,1075,1181:8
269,234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,2,10005,1:8
234,10608,10606,10619,10620,10621,10622,10624,10605,10603,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:7
1075,1076,1078,1080,1079,1077,1074,1016,1073,1068,1067,1066,1066,1067,1068,1073,1077,1079,1080,1078,1076,1075:7
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:7
234,10608,72,10606,10634,10087,10117,10595,10594,10632,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:7
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10616,1075,1076,1078,1080,1079,1077:7
143,145,142,144,95,94,10090,93,1164,1,2,1030,1025,239,2,10005,1,10078,144,142,145,143:6
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130,73,275,238,254:6
236,254,238,275,73,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:6
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:6
1164,1,2,73,10130,10088,1069,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:6
228,10620,10621,10622,10623,10624,10605,10603,10602,1069,5,82,5,10602,10603,10605,10624,10623,10622,10621,10620,1182:6
228,10620,10621,10622,10623,10624,10605,10603,10602,5,82,5,10602,10603,10605,10624,10623,10622,10621,10620,1035,1182:6
10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082,10591,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597:6
10129,10103,133,87,137,10081,136,581,129,10136,104,106,10136,129,582,136,10081,137,139,87,10103,10129:6
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,2,10005,1,97:6
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10629,10615,10086,10105,10118,10140,10119:6
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,2,10005,1,93,118:6
1164,1,2,73,10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181,269:6
