10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:575
10636,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:568
268,143,145,142,144,95,144,142,145,143,10579,1171:539
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:399
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605:347
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603:310
10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:281
10618,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:270
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618,1181:250
10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:239
10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:232
234,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069:228
234,71,10608,72,10606,1108,10635,10089,1034,10610,10636,10611:228
10602,10603,10605,10624,10623,10622,10621,10620,10619,10608,71,1181:226
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603:220
10145,1166,10568,10122,59,10104,10068,1018,10126,160,10070,173:218
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603:214
10145,1166,10568,10122,59,10104,10068,1018,10126,160,10070,172:213
270,1173,156,10568,10122,59,10104,10068,1018,10126,160,10070:208
10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:207
10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,1181:206
10591,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618:201
234,71,10608,72,10606,10618,10618,10606,72,10608,71,1181:195
10611,10636,10610,1034,10089,10635,1108,10618,10606,10608,71,1181:191
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602:173
10612,10611,10636,10610,10089,10635,10618,10606,72,10608,71,1181:170
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603:170
10611,10636,10610,1034,10089,10635,1108,10618,10606,72,10608,1181:161
234,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602:161
10128,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,1181:149
234,71,10608,72,10606,10635,10089,1034,10610,10636,10611,10612:145
10611,10636,10610,10089,10635,1108,10618,10606,72,10608,71,1181:138
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602:138
10146,10145,1166,10568,10122,59,10104,10068,1018,10126,160,10070:134
234,71,10608,72,10619,10620,10622,10623,10624,10605,10603,10602:133
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080:127
228,1034,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:125
10612,10611,10636,10610,1034,10089,10635,1108,10618,10606,10608,1181:124
234,71,10608,72,10606,10618,10635,10089,1034,10610,10636,10611:124
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,1187,10007:121
10623,10622,10621,10620,10033,10619,10038,10606,72,10608,71,1181:120
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10624:120
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594:119
234,71,10608,10619,10620,10621,10622,10623,10624,10605,10603,10602:119
228,10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:116
1035,1034,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:116
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10600:114
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608:114
10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:113
1173,156,10568,10122,59,10104,10068,1018,10126,160,10070,172:112
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10624:112
10612,10611,10636,10610,10089,10635,1108,10618,10606,10608,71,1181:109
5,1070,10629,10615,10086,10105,10118,10105,10086,10615,1070,1069:106
10128,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,1181:105
149,67,64,168,62,65,10017,149,136,120,119,87:103
10080,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,1181:103
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10602:103
10611,10636,10610,1034,10089,10635,10618,10606,72,10608,71,1181:101
97,10091,136,10081,137,137,10081,136,10084,10127,10091,97:99
10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:99
10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:96
234,10608,10606,10634,10087,10117,10595,10594,10632,10593,163,10082:96
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10624:89
10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602:88
10612,10611,10636,10610,1034,10089,10635,10618,10606,10608,71,1181:87
10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130:86
1164,1,2,266,10082,10593,10080,10632,10594,10595,10117,10087:84
10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,1181:84
234,10608,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:83
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10600:82
71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603:80
10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,240:79
234,71,10608,72,10606,10619,10619,10606,72,10608,71,1181:77
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10600:75
1187,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:74
10612,10611,10636,10610,10089,10635,1108,10618,10606,72,10608,1181:74
1173,156,10568,10122,59,10104,10068,1018,10126,160,10070,173:73
10612,10611,10636,10610,1034,10089,10635,10618,72,10608,71,1181:73
1069,10602,10605,10624,10623,10622,10621,10620,10606,10608,71,1181:72
10071,10070,10126,1018,10068,10104,59,10122,10568,156,1173,270:72
10602,10603,10605,10624,10623,10622,10621,10620,72,10608,71,1181:72
268,578,143,145,142,144,95,144,142,145,143,1171:71
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71:71
234,10608,72,10606,10620,10621,10622,10623,10624,10605,10602,1069:71
5,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:71
10608,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:70
1069,10602,10605,10624,10623,10622,10621,10620,10606,72,10608,1181:69
10082,10593,10080,10632,10594,10595,10117,10636,10610,1034,10089,10635:69
234,10608,72,10606,10620,10622,10623,10624,10605,10603,10602,1069:68
234,71,10608,10606,10635,10089,1034,10610,10636,10611,10612,10637:68
10618,10634,10597,10633,10087,10117,10595,10594,10632,10593,163,10082:67
10082,10593,10080,10632,10117,10087,10634,10606,72,10608,71,1181:67
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10624:66
10624,10605,10603,10602,1069,1070,10629,10615,10086,10105,10118,10140:66
10602,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:66
10568,10122,59,10104,10068,1018,10126,160,10070,172,10071,1107:65
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10602,5:65
234,71,10608,72,10606,10635,10089,1034,10610,10636,10611,181:64
234,10608,72,10606,10635,10089,1034,10610,10636,10611,10612,10637:64
