10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033:12
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:7
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:7
1122,143,145,142,144,95,94,10090,93,1164,2,1030,10085,1025,239,2,10005,1,10078,144,142,145,143,1122:7
94,10064,91,10092,10099,102,10066,97,94,10064,91,10092,10099,102,10066,97,94,10064,91,10092,10099,102,10066,97:6
10082,10593,10080,10632,10594,10625,10603,10605,10624,10636,10610,1034,1182,228,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:6
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:6
59,10104,10068,1018,10126,160,10070,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:6
10618,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10618:6
1075,1076,1078,1080,1079,1077,1074,1016,1073,1068,1067,1066,1066,1067,1068,1073,1016,1074,1077,1079,1080,1078,1076,1075:6
