10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:1026
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069:502
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,1181:484
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602:472
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,1181:421
234,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:396
97,10091,136,10081,137,139,88,137,10081,136,10084,10127,10091,97:388
234,71,10608,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:382
10612,10611,10636,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:353
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:328
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10593,163,10082:308
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:275
234,71,10608,72,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:254
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10600:244
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:228
1108,10635,10089,1034,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:200
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,72,10608,71,1181:190
10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:182
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5:171
71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:166
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:157
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,5:152
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:141
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5:133
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,5:131
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069:117
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,5:116
10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:108
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,5:107
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069:105
10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:104
10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:103
1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:98
10406,10128,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:93
234,71,10608,72,10606,10620,10621,10622,10623,10624,10605,10602,1069,5:90
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237:89
10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:88
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:86
10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:86
234,71,10608,72,10606,10620,10621,10622,10623,10624,10605,10602,1069,237:83
10082,10593,10080,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:79
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237:77
10591,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10618:77
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237:76
234,10608,10606,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:74
10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181,269:74
10618,10635,10089,1034,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:73
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,10108:73
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,10626:72
10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,10608,71,1181:71
234,71,10608,72,10606,10620,10622,10623,10624,10605,10603,10602,1069,5:71
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070:70
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070:69
1164,2,1079,1080,1078,1076,1075,1075,1076,1078,2,10005,1,93:68
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237:67
10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,72,10608,1181:66
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,10608,71,1181:65
234,71,10608,72,10606,1108,10635,10089,1034,10610,10636,10611,10612,10637:65
10082,10593,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:64
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,237:63
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163:62
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069:62
10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:61
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71:60
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,1069:59
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,71,1181:59
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10618,1181:58
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080:57
5,10602,10603,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:57
1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:56
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,10608,1181:56
10625,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:56
10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:55
10637,10611,10636,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:55
10082,10593,10080,10632,10594,10595,10117,10087,10609,10606,72,10608,71,1181:54
10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,71,1181:53
1069,10602,10603,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:53
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,237:52
234,71,10608,72,10606,10634,10087,10595,10594,10632,10080,10593,163,10082:52
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,71,1181:52
10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,72,10608,71,1181:50
10082,10593,10080,10632,10594,10595,10117,10613,10620,10619,10606,10608,71,1181:50
234,71,10608,72,10606,10038,10619,10620,10621,10622,10623,10624,10605,10603:49
97,10091,136,10081,137,139,139,137,10081,136,10084,10127,10091,97:49
10108,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:49
234,71,10608,72,10606,10634,10117,10595,10594,10632,10080,10593,163,10082:49
270,1173,156,10568,10122,59,10104,10068,1018,10126,160,10070,172,10071:47
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,72,10608,1181:47
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10608,71,1181:46
10568,10122,59,10104,10068,1018,10126,10126,1018,10068,10104,59,10122,10568:45
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10600,1070:45
269,234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603:45
10082,10593,10080,10632,10594,10595,10117,10634,10609,10606,72,10608,71,1181:44
