10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:794
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:656
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:480
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:377
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5:247
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,5:229
10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:214
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,1181:183
10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:173
1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:173
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237:171
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069:168
10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:137
10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,72,10608,71,1181:130
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:128
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,10608,71,1181:107
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,71,1181:103
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070:102
234,10608,72,10606,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:101
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237:97
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10608,71,1181:87
234,71,10608,10606,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:81
234,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130:81
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,1181:80
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181,269:78
234,10608,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:76
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:75
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:74
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,72,10608,1181:72
234,10608,72,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:71
10616,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:71
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,72,10608,71,1181:71
10133,1067,1068,1073,1074,1077,1079,1079,1077,1074,1016,1073,1068,1067,10133:69
10600,10612,10611,10636,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:69
234,71,10608,72,10606,10634,10597,10633,10117,10595,10594,10632,10593,163,10082:66
10082,10593,10080,10632,10594,10595,10117,10617,10595,10594,10632,10080,10593,163,10082:64
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,5:63
234,71,10608,72,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:62
10082,10593,10080,10632,10594,10595,10117,10613,10620,10619,10606,72,10608,71,1181:61
234,71,10608,72,10606,10038,10619,10620,10621,10622,10623,10624,10605,10603,10602:59
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:59
10617,10595,10594,10632,10080,10593,163,10082,10082,10593,10080,10632,10594,10595,10117:58
234,71,10608,10606,10634,10597,10633,10087,10117,10595,10594,10632,10593,163,10082:58
266,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,1181:57
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:54
234,71,10608,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:54
1030,10406,10128,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:54
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:54
10410,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:54
97,10091,136,10081,137,139,88,139,137,10081,136,10084,10127,10091,97:53
10057,10056,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:53
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,10056,10057:51
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,10056,10057:51
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:50
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,5:50
234,71,10608,72,10619,10620,10622,10623,10624,10605,10603,10602,237,10088,10130:50
10612,10611,10636,10610,181,1034,10089,10635,1108,10618,10606,72,10608,71,1181:50
10612,10611,10636,10610,1034,10089,10635,1108,10618,10606,72,10608,71,71,1181:50
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088:49
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,10608,71,71,1181:49
10618,1108,10635,10089,1034,10610,10636,10617,10595,10594,10632,10080,10593,163,10082:48
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088:48
10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,71,1181:46
252,10626,161,10592,10070,10126,1018,10068,10068,1018,10126,160,10070,10082,252:43
266,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,1181:43
234,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10593,163,10082:42
10592,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:41
234,71,10608,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:41
1031,10108,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:41
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593:39
1164,1,2,1079,1080,1078,1076,1075,1075,1076,1078,2,10005,1,93:39
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088:39
10410,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:39
10057,10056,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:38
10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:37
10406,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,72,10608,71,1181:37
10130,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10608,71,1181:37
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:37
1164,2,10627,1079,1080,1078,1076,1075,1075,1076,1078,2,10005,1,93:36
10612,10611,10636,181,10610,1034,10089,10635,1108,10618,10606,72,10608,71,1181:36
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10606,10608,71,1181:36
234,71,10608,72,10606,10038,10619,10620,10621,10622,10623,10624,10605,10603,10600:36
73,179,1069,10602,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:35
10082,10593,10080,10632,10594,10595,10117,10087,10613,10620,10619,10606,10608,71,1181:35
10082,10593,10080,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:33
71,10608,72,10606,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:33
73,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:33
10612,10611,10636,10610,1034,181,10089,10635,1108,10618,10606,72,10608,71,1181:33
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,274:32
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,71,1181:32
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,10616:32
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608:31
10082,10593,10080,10632,10594,10595,10117,10087,10613,10620,10619,10606,72,10608,1181:31
265,1066,1067,1068,1073,10116,78,1077,1074,1016,1073,1068,1067,1066,10002:31
269,234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069:31
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,1181:31
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,163,10593,10082:31
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,10626,10406:30
234,71,10608,72,10606,10634,10597,10633,10117,10595,10594,10632,10080,10593,10626:30
234,71,10608,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,173:30
10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033:30
10406,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:30
10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:30
10612,10611,10636,10610,1034,10089,10089,10635,1108,10618,10606,72,10608,71,1181:29
10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:29
10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:29
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10602,237,10088,10130:29
10082,10593,10080,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:29
234,71,10608,72,10634,10597,10633,10087,10595,10594,10632,10080,10593,163,10082:29
10082,10593,10080,10632,10594,10595,10117,10087,10087,10634,10609,10606,10608,71,1181:28
10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181,1181:28
10591,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,72,10608,71,1181:28
10410,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:28
234,10608,72,10606,10619,10620,10613,10596,10117,10595,10594,10632,10593,163,10082:28
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:28
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,1069,5:28
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,53:28
234,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:28
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10608,71,1181:28
