10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:585
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130:244
10145,10133,1067,1068,1073,1074,1077,1079,1079,1077,1074,1073,1068,1067,1066,1166,10145:228
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:211
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:194
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:114
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:105
10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:101
5,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,71,1181:89
10087,10117,10595,10594,10632,10080,10593,163,10082,10082,10593,10080,10632,10594,10595,10117,10087:85
234,71,10608,72,10619,10620,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:80
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,240:75
234,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,240:75
73,10130,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:71
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,240:70
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,10608,71,1181:68
160,10070,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:63
234,71,10608,72,10606,10619,10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:58
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:58
10145,1066,1067,1068,1073,1074,1077,1079,1079,1077,1074,1073,1068,1067,1066,1166,10145:55
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,10070,173:53
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,72,10608,71,1181:51
266,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:50
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:46
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5,10056,10057:44
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130:44
73,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:43
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:43
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73:41
10082,10593,10080,10632,10594,10595,10117,10623,10622,10621,10620,10619,10606,72,10608,71,1181:40
274,10410,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:40
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,237,10088,10130,240:40
73,10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:40
73,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:38
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,71,1181:37
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,10629,10615:36
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,1181:35
234,71,10608,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:35
265,1066,1067,1068,1073,79,78,10116,78,1077,1074,1016,1073,1068,1067,1066,10002:34
10145,10133,1067,1068,1073,1077,1079,1079,1077,1074,1016,1073,1068,1067,1066,1166,10145:34
10145,10133,1067,1068,1073,1074,1077,1079,10414,1077,1074,1073,1068,1067,1066,1166,10145:34
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:33
234,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:33
10140,10105,10086,10615,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:32
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10602,237,10088,10130,73,240:32
266,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:32
10082,10593,10080,10632,10594,10595,10117,10087,10087,10117,10595,10594,10632,10080,10593,163,10082:32
73,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:31
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,72,10608,71,1181:31
10130,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:31
73,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:30
73,10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:30
10082,10593,10080,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:30
71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73,240:30
1030,10406,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:30
10145,10133,1067,1068,1073,1074,1077,1079,1079,1077,1074,1073,1068,1067,10133,1166,10145:30
10086,10615,1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:29
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130:29
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,73:28
10620,10621,10622,10624,10605,10603,10602,1069,1069,10602,10603,10605,10624,10623,10622,10621,10620:28
71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,240:28
234,10608,72,10606,10619,10620,10621,10622,10623,10617,10595,10594,10632,10080,10593,163,10082:27
10592,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:27
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,1069,237,10088,10130:27
10591,10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,72,10608,71,1181:27
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088:27
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,237,10088,10130,73,240:27
234,71,10608,72,10606,10620,10622,10623,10624,10605,10603,10602,1069,237,10088,10130,240:26
10145,1067,1068,1073,1074,1077,1079,1079,1077,1074,1016,1073,1068,1067,1066,1166,10145:26
73,10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:25
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,71,71,1181:25
10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033:25
1031,10108,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:25
10088,1069,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:24
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,71,1181:24
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237,10088,10130:24
