10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,10608,71,1181:306
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,1181:243
10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:213
10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,71,1181:177
234,71,10608,72,10606,10634,10597,10633,10117,10595,10594,10632,10080,10593,163,10082:156
234,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:147
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130:136
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:132
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,72,10608,71,1181:131
234,71,10608,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:131
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130:122
234,71,10608,72,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:122
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10593,163,10082:104
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088:101
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,10056,10057:91
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,71,1181:91
10057,10056,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:89
266,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:85
10410,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:75
234,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:74
10130,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:73
234,71,10608,72,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:72
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:72
234,71,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130:69
10406,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:68
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,5:67
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:66
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:66
10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:59
73,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:57
234,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130,240:57
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,237:55
10082,10593,10080,10632,10594,10595,10117,10087,10613,10620,10619,10606,72,10608,71,1181:55
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,71,1181:52
71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163,10082:52
234,10608,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:50
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,164:48
10057,10056,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:48
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,72,10608,71,1181:48
5,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,72,10608,1181:47
241,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:46
10082,10593,10080,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:45
10082,10593,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:45
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,71,1181:45
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71:43
10130,10088,1069,10602,10603,10605,10624,10623,10622,10621,10620,10606,72,10608,71,1181:43
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,1069,1070:43
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10602,237,10088,10130:42
1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,71,1181:42
10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:41
234,71,10608,72,10606,10620,10621,10622,10623,10624,10605,10602,1069,1070,10629,10615:41
10615,1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:40
265,1066,1067,1068,1073,79,78,10116,78,1077,1074,1073,1068,1067,1066,10002:40
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,10626:40
234,71,10608,72,10619,10620,10622,10623,10624,10605,10603,10602,237,10088,10130,240:40
5,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10606,72,10608,71,1181:39
234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,173:39
10616,1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:39
234,10608,72,10619,10620,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:38
10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181,269:38
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088:38
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,10608,1181:37
234,10608,72,10606,10619,10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:37
234,71,10608,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,10070,173:37
10591,10082,10593,10080,10632,10594,10595,10117,10087,10634,10609,10606,72,10608,71,1181:37
88,1066,1067,1068,1073,1074,1077,1079,10414,1077,1074,1073,1068,1067,1066,139:36
1014,1070,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:36
234,71,10608,72,10619,10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:35
234,71,10608,72,10606,10619,10620,10621,10622,10623,10624,10605,10603,10602,10629,10615:35
234,71,10608,10619,10620,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:35
10108,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:35
234,71,10608,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,240:34
73,10130,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,72,10608,1181:34
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,71,1181:34
234,10608,10619,10620,10621,10622,10623,10624,10605,10603,10602,237,10088,10130,73,240:33
5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181,269:33
71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,237,10088,10130:33
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,10608,71,1181:33
234,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082,10070,173:33
10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,71,1181:32
74,10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,1181:32
234,71,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,1070,1014:32
10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033:31
234,71,10608,72,10606,10619,10620,10613,10596,10117,10595,10594,10632,10593,163,10082:31
234,71,10608,72,10606,10038,10619,10620,10621,10622,10623,10624,10605,10603,10602,5:31
234,71,10608,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5,10056,10057:31
1164,1,2,10627,1079,1080,1078,1076,1075,1075,1076,1078,2,10005,1,93:30
10082,10593,10080,10632,10594,10595,10117,10623,10622,10621,10620,10619,10606,10608,71,1181:30
234,71,10608,72,10606,10634,10597,10087,10117,10595,10594,10632,10080,10593,163,10082:29
73,10130,10088,179,10602,10603,10605,10624,10623,10622,10621,10620,10619,10608,71,1181:29
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,163:29
10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,72,10608,1181:29
234,71,10608,72,10606,10620,10622,10623,10624,10605,10603,10602,1069,237,10088,10130:29
234,71,10608,72,10606,10620,10621,10622,10623,10624,10605,10602,1069,237,73,240:29
269,234,71,10608,72,10606,10634,10087,10117,10595,10594,10632,10080,10593,163,10082:28
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10609,10606,72,10608,71,1181:28
1164,1,2,1079,1080,1078,1076,1075,1075,1076,1078,10628,2,10005,1,93:28
265,1066,1067,1068,1073,78,10116,78,1077,1074,1016,1073,1068,1067,1066,10002:28
10082,10593,10080,10632,10594,10595,10117,10087,10633,10597,10634,10606,72,10608,71,1181:28
73,10088,179,1069,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,1181:28
5,10602,10603,10605,10624,10623,10622,10621,10620,10033,10619,10038,10606,10608,71,1181:28
10087,10117,10595,10594,10632,10593,163,10082,10082,10593,10080,10632,10594,10595,10117,10087:27
274,10410,5,10602,10603,10605,10624,10623,10622,10621,10620,10619,10606,10608,71,1181:27
10128,10632,10594,10595,10117,10087,10633,10597,10634,10609,10606,72,10608,71,71,1181:27
234,71,10608,72,10606,10634,10597,10633,10087,10117,10595,10594,10632,10080,10593,10108:27
265,1066,1067,1068,1073,79,10116,78,1077,1074,1016,1073,1068,1067,1066,10002:26
10082,10593,10080,10632,10594,10595,10117,10087,10087,10634,10609,10606,72,10608,71,1181:26
234,10608,72,10606,10619,10620,10621,10622,10624,10605,10603,10602,1069,5,10056,10057:25
234,71,10608,10606,10619,10620,10613,10596,10117,10595,10594,10632,10080,10593,163,10082:25
10130,10088,10602,10603,10605,10624,10623,10622,10621,10620,10619,10038,10606,72,10608,1181:25
